N	2gram	Tiupa_Narr_1	Hudozhes
1	в мире	9	23
2	в качестве	21	19
3	то есть	19	18
4	состоит в	13	16
5	и не	20	16
6	в том	18	15
7	и в	19	15
8	не только	32	15
9	в частности	14	13
10	может быть	25	13
11	тогда как	12	13
12	при этом	9	12
13	а в	11	12
14	и его	5	12
15	но не	5	11
16	в этом	17	11
17	в себе	8	11
18	художественного текста	2	11
19	представляет собой	13	10
20	как бы	4	10
21	отношению к	6	10
22	но и	23	10
23	так и	9	10
24	по отношению	7	10
25	то же	4	10
26	а не	12	10
27	такого рода	7	9
28	в его	9	9
29	точки зрения	10	9
30	в рамках	12	8
31	себя в	5	8
32	своего рода	12	8
33	присутствия в	3	8
34	сводится к	3	8
35	с другой	8	7
36	или иной	5	7
37	в отличие	5	7
38	в принципе	4	7
39	в то	3	7
40	отличие от	5	7
41	но в	6	7
42	в основе	5	6
43	с его	6	6
44	что в	3	6
45	не сводится	2	6
46	в ее	3	6
47	том что	14	6
48	не в	14	6
49	же время	4	6
50	отношение к	2	6
51	в тексте	16	6
52	приводит к	2	6
53	не может	10	6
54	по своей	3	6
55	могут быть	3	5
56	по сути	2	5
57	речевая маска	5	5
58	можно сказать	5	5
59	а также	7	5
60	ни в	3	5
61	только в	4	5
62	тем самым	6	5
63	не предполагает	5	5
64	той или	4	5
65	в нем	4	5
66	с ее	3	5
67	то что	11	5
68	и одновременно	2	5
69	между ними	2	5
70	внутреннего зрения	4	5
71	или менее	2	5
72	и т.п	8	5
73	другой стороны	4	5
74	уже не	5	5
75	коммуникативного события	12	5
76	картина мира	5	5
77	героя и	4	5
78	более или	2	5
79	говоря словами	2	4
80	не столько	4	4
81	личности в	2	4
82	прежде всего	4	4
83	к тому	7	4
84	кто говорит	2	4
85	и как	5	4
86	для него	2	4
87	еще не	7	4
88	например в	2	4
89	хотя и	3	4
90	он не	3	4
91	жизни как	3	4
92	и тем	4	4
93	со стороны	9	4
94	в форме	5	4
95	во времени	8	4
96	как к	2	4
97	отношения к	2	4
98	высказывания в	6	4
99	сказать что	4	4
100	между тем	3	4
101	мы имеем	2	4
102	говорить о	2	4
103	креативная компетенция	6	4
104	без исключения	2	4
105	и т.д	7	4
106	как это	6	4
107	к которому	2	4
108	не менее	3	3
109	однако в	2	3
110	конечном счете	2	3
111	это позиция	2	3
112	в противоположность	2	3
113	текста в	2	3
114	это не	2	3
115	говорит и	2	3
116	или иного	2	3
117	что он	6	3
118	тем не	3	3
119	сказания или	4	3
120	субъекта и	2	3
121	в пределах	2	3
122	в свою	3	3
123	читателя в	2	3
124	о чем	2	3
125	мог бы	3	3
126	к содержанию	3	3
127	имеет место	4	3
128	иначе говоря	6	3
129	того или	2	3
130	как раз	2	3
131	в роли	2	3
132	в конечном	3	3
133	далеко не	5	3
134	авторской позиции	2	3
135	к нему	5	3
136	не будет	3	3
137	как говорит	3	3
138	в культуре	2	3
139	картины мира	5	3
140	значении этого	3	3
141	в притче	3	3
142	ценностного центра	2	3
143	не на	2	3
144	текста как	2	3
145	как и	7	3
146	в той	6	3
147	во втором	4	3
148	с точки	2	3
