N	2gram	Savitsky_P_1	Problema
1	то что	4	38
2	и не	12	37
3	и в	14	35
4	не только	17	24
5	том что	4	19
6	может быть	5	18
7	в этом	10	17
8	но и	6	16
9	что мы	3	14
10	только в	7	14
11	не менее	2	13
12	потому что	3	13
13	не может	4	13
14	в том	9	12
15	того что	2	12
16	хотя бы	8	12
17	что в	4	11
18	прежде всего	3	11
19	никак не	2	11
20	и с	2	10
21	говорить о	2	10
22	тем более	2	10
23	да и	2	10
24	а не	2	10
25	для нас	2	9
26	было бы	6	8
27	по себе	4	8
28	как раз	2	8
29	м а	2	7
30	есть нечто	2	7
31	в его	2	7
32	тем самым	3	7
33	мы не	3	7
34	с другой	5	6
35	не о	2	6
36	и т	3	6
37	в то	7	6
38	есть не	2	6
39	в виде	2	6
40	но в	9	6
41	в области	11	6
42	в частности	2	5
43	и без	3	5
44	отнюдь не	2	5
45	с этим	2	5
46	с одной	3	5
47	то же	9	5
48	одной стороны	3	5
49	в себе	3	5
50	и это	2	5
51	и есть	2	4
52	в своем	4	4
53	в отношении	10	4
54	и как	3	4
55	есть в	2	4
56	в общем	2	4
57	как бы	4	4
58	и тем	2	4
59	все это	2	4
60	заключается в	3	4
61	а в	4	4
62	именно как	2	4
63	если бы	4	4
64	стороны и	2	4
65	но не	3	4
66	тот же	3	4
67	и о	5	4
68	не будем	2	4
69	может ли	2	3
70	и если	4	3
71	значительной мере	2	3
72	хотя и	3	3
73	не было	2	3
74	и пусть	2	3
75	мы должны	4	3
76	с тем	3	3
77	для них	2	3
78	и к	4	3
79	одна из	2	3
80	не нужно	2	3
81	о в	5	3
82	в значительной	2	3
83	для того	3	3
84	том числе	2	2
85	в с	4	2
86	не в	5	2
87	и мы	2	2
88	сводится к	3	2
89	должно быть	2	2
90	как на	2	2
91	в ней	6	2
92	точки зрения	3	2
93	и весьма	2	2
94	о и	2	2
95	в них	2	2
96	сами по	3	2
97	в качестве	9	2
98	мысль о	2	2
99	что из	2	2
100	а также	4	2
101	во всех	2	2
102	в последние	2	2
103	еще более	2	2
104	является в	2	2
105	о с	2	2
