N	2gram	Trubetskoy_1	Myshleni
1	в том	30	28
2	и в	23	28
3	то что	18	28
4	в этом	12	27
5	того что	6	24
6	потому что	9	22
7	не может	17	19
8	том что	19	19
9	таким образом	31	18
10	что он	7	18
11	только в	6	18
12	что в	8	17
13	в силу	7	17
14	не только	7	16
15	так же	8	15
16	по сравнению	5	15
17	сравнению с	5	14
18	может быть	16	13
19	точки зрения	13	13
20	тому что	2	11
21	и не	8	11
22	как бы	10	11
23	что мы	4	11
24	к тому	8	10
25	как мы	2	10
26	но и	9	10
27	от того	3	10
28	по отношению	9	10
29	так как	7	10
30	но не	2	10
31	отношению к	9	10
32	того чтобы	8	10
33	с точки	8	10
34	между собой	4	9
35	было бы	3	9
36	в процессе	2	9
37	мы можем	6	9
38	никогда не	4	8
39	в самом	8	8
40	мы видели	2	8
41	еще не	5	8
42	тем самым	3	8
43	для того	8	8
44	того же	9	7
45	если бы	8	7
46	в нем	3	7
47	в сущности	2	7
48	в своем	10	7
49	и других	2	7
50	заключается в	2	7
51	что оно	3	7
52	как известно	3	7
53	отношение к	4	7
54	он не	3	7
55	вместе с	6	7
56	то же	4	7
57	между ними	2	7
58	в которой	5	7
59	и к	5	6
60	же как	3	6
61	что развитие	2	6
62	так что	5	6
63	и что	8	6
64	для него	2	6
65	в то	6	6
66	ступени развития	5	6
67	тогда когда	3	6
68	его в	5	6
69	как и	9	6
70	то время	2	6
71	так и	10	6
72	в области	4	6
73	не могут	4	5
74	это не	3	5
75	вопрос о	3	5
76	друг с	9	5
77	на этой	2	5
78	в разных	3	5
79	и на	6	5
80	и все	7	5
81	но в	4	5
82	что все	5	5
83	с тем	2	5
84	то в	2	5
85	том же	4	5
86	с другом	9	5
87	из того	4	5
88	в этой	6	5
89	я не	2	4
90	именно в	5	4
91	в частности	2	4
92	в нашем	3	4
93	на то	9	4
94	мы знаем	10	4
95	не в	8	4
96	мы и	2	4
97	на этом	2	4
98	но если	2	4
99	целый ряд	4	4
100	с этим	11	4
101	в состоянии	4	4
102	они не	2	4
103	между этими	2	4
104	друг друга	2	4
105	в сознании	6	4
106	знаем что	8	4
107	он должен	2	4
108	ясно что	8	4
109	только тогда	2	4
110	что при	6	4
111	одного и	3	4
112	к другу	2	4
113	и развитие	2	4
114	что и	7	4
115	во всех	10	4
116	и того	3	4
117	ко всем	3	4
118	и то	4	4
119	в себе	5	4
120	своем развитии	3	4
121	что их	3	3
122	независимо от	2	3
123	из этих	8	3
124	только те	2	3
125	очевидно что	3	3
126	это есть	4	3
127	есть в	2	3
128	отличается от	6	3
129	что с	5	3
130	при этом	9	3
131	между отдельными	2	3
132	хотя и	4	3
133	в целом	5	3
134	в их	4	3
135	как на	4	3
136	и только	2	3
137	те же	2	3
138	во втором	2	3
139	и по	3	3
140	в своих	2	3
141	образом в	3	3
142	в основе	2	3
143	но как	2	3
144	по своей	7	3
145	только то	2	3
146	а это	2	3
147	бы в	3	3
148	только не	2	3
149	друг к	2	3
150	в них	2	3
151	представить себе	2	3
152	связи с	4	3
153	до сих	8	3
154	мы должны	4	3
155	иначе говоря	4	3
156	в его	5	3
157	сих пор	8	3
158	одной и	2	3
159	в себя	2	3
160	этот вопрос	2	3
161	в психологии	3	3
162	ту же	2	3
163	не знает	2	3
164	и т.д	4	3
165	не менее	7	2
166	на вопрос	4	2
167	но на	2	2
168	в этих	3	2
169	для этого	7	2
170	точку зрения	2	2
171	с другой	6	2
172	с этой	3	2
173	в конце	4	2
174	именно потому	2	2
175	прежде всего	3	2
176	к которой	3	2
177	для нас	3	2
178	и более	2	2
179	самом деле	12	2
180	в пользу	5	2
181	несмотря на	6	2
182	имеет место	2	2
183	одним из	4	2
184	и от	5	2
185	принять во	2	2
186	в котором	2	2
187	из них	5	2
188	различия в	3	2
189	если мы	4	2
190	все это	11	2
191	другой стороны	5	2
192	в связи	3	2
193	которых мы	3	2
194	все эти	19	2
195	этой области	4	2
196	на том	2	2
197	и наконец	3	2
198	к таким	2	2
199	с ними	2	2
200	в которых	2	2
201	эти последние	2	2
202	от него	3	2
203	что у	2	2
204	с ним	6	2
205	между двумя	5	2
206	с более	3	2
207	если он	2	2
208	у него	5	2
209	стоят в	2	2
210	в такой	4	2
211	этом случае	4	2
212	у нас	3	2
213	по существу	6	2
214	всех тех	2	2
215	путем подражания	3	2
216	чем в	3	2
217	по своему	5	2
218	она не	2	2
219	мы уже	4	2
220	во внимание	2	2
221	из этого	6	2
222	что если	3	2
223	этого слова	2	2
224	все же	13	2
225	а и	8	2
226	а в	3	2
227	но с	2	2
228	только что	3	2
229	у них	6	2
230	на одном	2	2
231	в данном	3	2
232	в другом	2	2
233	и вообще	3	2
234	что они	2	2
235	что эта	4	2
236	в совершенно	3	2
