N	2gram	Medvedev_F_2	Narrotol
1	не только	9	26
2	а не	6	17
3	но и	13	15
4	в том	11	14
5	при этом	9	14
6	в качестве	2	14
7	и не	20	14
8	том что	2	13
9	и в	38	13
10	в этом	27	13
11	состоит в	2	12
12	только в	6	11
13	может быть	23	10
14	к тому	4	9
15	так и	8	9
16	сводится к	5	9
17	а в	6	9
18	то что	6	8
19	не может	14	8
20	не в	15	8
21	никогда не	2	6
22	прежде всего	15	6
23	и к	4	6
24	того что	3	6
25	в его	10	6
26	со стороны	2	6
27	все же	8	6
28	как бы	4	6
29	ничего не	4	6
30	но в	4	6
31	место в	3	5
32	точки зрения	8	5
33	не столько	4	5
34	что он	5	5
35	хотя и	3	5
36	он не	6	5
37	в котором	2	5
38	и тем	2	5
39	в нем	13	5
40	как в	4	5
41	в отличие	2	5
42	таким образом	20	5
43	в той	2	5
44	тем самым	2	5
45	с другой	3	5
46	отличие от	2	5
47	в то	5	5
48	перед нами	2	4
49	что это	3	4
50	если бы	5	4
51	отнюдь не	8	4
52	в конце	2	4
53	как и	9	4
54	времени и	2	4
55	что в	7	4
56	для него	7	4
57	не является	3	4
58	не к	2	4
59	жизни и	3	4
60	в своей	7	4
61	в ее	2	4
62	то же	6	4
63	в какой	3	4
64	уже не	7	4
65	в этой	6	4
66	и все	3	4
67	как это	2	4
68	с ним	2	4
69	а как	3	3
70	с его	11	3
71	тому что	2	3
72	или даже	2	3
73	это не	2	3
74	или иного	5	3
75	а к	2	3
76	в слове	5	3
77	что они	4	3
78	но не	2	3
79	же время	5	3
80	того или	4	3
81	к его	2	3
82	как раз	6	3
83	один из	2	3
84	в целом	3	3
85	то и	3	3
86	как к	3	3
87	все эти	6	3
88	самом деле	8	3
89	того чтобы	3	3
90	и даже	4	3
91	и по	2	3
92	и для	5	3
93	и его	21	3
94	в таком	2	3
95	с ними	2	3
96	этом отношении	7	3
97	не следует	4	3
98	сказать что	2	3
99	между тем	2	3
100	так сказать	3	3
101	едва ли	2	3
102	же как	3	2
103	должен был	2	2
104	превращается в	2	2
105	хотя бы	6	2
106	столь же	2	2
107	к другому	2	2
108	из этих	3	2
109	с нею	2	2
110	на фоне	4	2
111	вовсе не	11	2
112	и здесь	3	2
113	его смысла	2	2
114	и т	14	2
115	и более	2	2
116	как о	4	2
117	должна быть	5	2
118	было бы	6	2
119	во второй	2	2
120	со своей	2	2
121	в самом	16	2
122	и иные	2	2
123	не происходит	2	2
124	от его	2	2
125	однако не	3	2
126	оно не	4	2
127	что и	8	2
128	не будет	2	2
129	в процессе	9	2
130	только на	3	2
131	в других	7	2
132	именно в	5	2
133	на самом	3	2
134	они не	4	2
135	с точки	7	2
136	не имеет	2	2
137	роль в	3	2
138	мы не	3	2
139	в чем	2	2
140	но это	2	2
141	в результате	6	2
142	в ней	6	2
143	т п	9	2
144	говорить о	5	2
145	здесь не	4	2
146	бы в	5	2
147	потому что	2	2
148	в области	3	2
