N	2gram	Nazirov_Tv_2	formyVre
1	и в	20	50
2	то есть	5	33
3	в романе	15	32
4	в этом	8	25
5	в нем	3	24
6	человека в	3	17
7	и его	9	16
8	в литературе	2	16
9	прежде всего	8	15
10	и не	9	14
11	вовсе не	2	13
12	в его	10	13
13	так и	6	12
14	человека и	3	11
15	может быть	8	11
16	таким образом	10	11
17	то же	7	11
18	но в	4	10
19	в конце	6	9
20	в том	8	9
21	же время	7	9
22	и др	3	9
23	все эти	4	9
24	в то	10	9
25	не только	13	9
26	роль в	2	9
27	ничего не	4	9
28	в самом	3	8
29	и т	13	8
30	но и	8	8
31	и на	5	8
32	жизни в	3	8
33	как и	6	8
34	т п	2	8
35	не было	2	7
36	героя и	2	7
37	так сказать	2	7
38	все же	5	6
39	в частности	2	6
40	это не	7	6
41	образ человека	2	6
42	в дальнейшем	4	6
43	например в	5	6
44	в их	3	6
45	не может	7	6
46	так же	5	6
47	так как	3	6
48	у него	6	6
49	то что	3	6
50	в ее	2	6
51	как в	4	6
52	что в	7	5
53	в образе	3	5
54	не в	4	5
55	в основе	2	5
56	если бы	4	5
57	отнюдь не	4	5
58	но не	5	5
59	еще не	5	5
60	наряду с	7	5
61	он не	3	5
62	в основном	6	5
63	отношению к	3	5
64	и у	2	5
65	могут быть	2	5
66	в роман	2	4
67	в котором	3	4
68	все это	6	4
69	потому что	7	4
70	и с	8	4
71	нет ничего	3	4
72	в процессе	2	4
73	том что	4	4
74	только в	2	4
75	и это	3	4
76	в быту	2	3
77	при этом	8	3
78	xviii века	2	3
79	хотя и	4	3
80	один из	3	3
81	по отношению	3	3
82	именно в	6	3
83	и других	2	3
84	но эта	2	3
85	романа и	3	3
86	друг друга	2	3
87	а в	4	3
88	их в	2	3
89	в начале	3	3
90	его в	3	3
91	в одном	2	3
92	ни к	2	3
93	к этому	3	3
94	одной из	3	3
95	по преимуществу	2	3
96	и потому	4	3
97	вместе с	3	3
98	сих пор	3	3
99	а не	6	3
100	что не	3	3
101	мы не	4	3
102	мы видим	4	3
103	в таком	3	3
104	с другими	2	3
105	более того	2	3
106	во всяком	2	3
107	и ее	2	3
108	в себе	3	3
109	до сих	3	3
110	место в	3	2
111	уже в	2	2
112	же как	3	2
113	никогда не	11	2
114	его и	2	2
115	точку зрения	2	2
116	с другой	2	2
117	тому же	2	2
118	для него	3	2
119	характера в	2	2
120	к жизни	2	2
121	в целом	6	2
122	как по	2	2
123	всякого рода	2	2
124	и даже	5	2
125	и по	2	2
126	рядом с	2	2
127	в которых	3	2
128	имеет в	2	2
129	и еще	2	2
130	в истории	2	2
131	с ним	3	2
132	в романах	13	2
133	во многом	2	2
134	весь роман	2	2
135	не является	3	2
136	в стороне	2	2
137	об этом	4	2
138	в соответствии	4	2
139	в чем	4	2
140	сюжета и	2	2
141	одна из	3	2
142	том же	2	2
143	в этот	2	2
144	нет и	2	2
145	в честь	2	2
146	в своей	6	2
147	как бы	11	2
148	в отличие	2	2
149	уже не	3	2
150	в которой	2	2
151	тем что	3	2
152	соответствии с	4	2
153	и вообще	2	2
154	характер в	2	2
155	отличие от	2	2
