N	3gram	Vinokur_Ku_2	VLabPisa
1	и т д	14	15
2	в этом отношении	3	13
3	и т п	24	9
4	с другой стороны	7	8
5	не может быть	4	8
6	хотя бы и	2	5
7	в зависимости от	4	5
8	в конечном счете	2	5
9	то же время	3	5
10	в то же	3	5
11	можно сказать что	2	4
12	в связи с	3	4
13	в том что	10	4
14	большей или меньшей	3	3
15	в этой области	4	3
16	вместе с тем	2	3
17	в конце концов	3	2
18	мы знаем что	2	2
19	что все эти	3	2
20	и в другом	2	2
21	по крайней мере	6	2
22	или меньшей степени	3	2
23	во всяком случае	5	2
24	этой точки зрения	2	2
25	в большей или	3	2
26	можно было бы	9	2
27	для того чтобы	8	2
