N	3gram	Potebnia_M_4	Psycholo
1	в том что	7	17
2	для того чтобы	4	13
3	с точки зрения	3	10
4	не может быть	5	8
5	и т п	4	8
6	то же самое	4	6
7	на то что	4	6
8	до сих пор	4	5
9	на самом деле	3	5
10	только в том	2	4
11	в данном случае	2	4
12	о том что	5	4
13	сам по себе	4	4
14	в том случае	3	4
15	тем не менее	4	4
16	сами по себе	2	3
17	то что она	2	3
18	само по себе	5	3
19	с тем что	4	3
20	что и в	2	3
21	более и более	2	2
22	только потому что	2	2
23	то же время	3	2
24	все более и	2	2
25	заключает в себе	8	2
26	и в том	2	2
27	во всяком случае	3	2
28	подобно тому как	2	2
29	в то же	3	2
30	и то что	4	2
31	на этот вопрос	2	2
32	и т д	3	2
33	не в том	2	2
34	и таким образом	3	2
35	в том и	2	2
