N	2gram	Berdyaev_O_1	Istorich
1	и в	19	25
2	что он	3	22
3	может быть	11	17
4	т е	4	16
5	не только	11	13
6	но и	13	13
7	в его	7	12
8	и не	13	11
9	так как	2	11
10	все же	2	10
11	в этом	12	10
12	тем что	2	10
13	его в	2	9
14	и его	4	9
15	с тем	2	8
16	что в	4	8
17	том что	2	8
18	еще не	3	8
19	все эти	4	8
20	и на	2	8
21	как и	6	7
22	то что	5	7
23	в нем	10	7
24	потому что	9	7
25	о том	3	7
26	в этих	3	6
27	это не	3	6
28	прежде всего	9	6
29	что и	2	6
30	не может	4	6
31	и он	8	6
32	не в	11	6
33	могут быть	3	6
34	в том	5	6
35	него и	4	5
36	что у	2	4
37	что все	2	4
38	все еще	2	4
39	в ее	2	4
40	все это	6	4
41	в истории	2	4
42	он не	7	4
43	же можно	2	4
44	в которой	2	4
45	с ним	3	4
46	никогда не	9	3
47	и все	10	3
48	в этой	5	3
49	того чтобы	4	3
50	и из	2	3
51	для того	3	3
52	к нему	3	3
53	его не	2	3
54	а в	5	3
55	и с	2	3
56	никто не	3	3
57	человека в	11	3
58	в русской	3	3
59	уже в	2	2
60	у него	22	2
61	человека и	10	2
62	к этому	2	2
63	вопрос о	10	2
64	по себе	2	2
65	так что	2	2
66	как бы	3	2
67	и потому	2	2
68	в своей	2	2
69	когда он	3	2
70	ее в	2	2
71	и для	2	2
72	а не	11	2
73	того что	3	2
74	в других	2	2
75	сказать что	2	2
76	но он	7	2
77	и этим	2	2
78	ничего не	2	2
79	это было	3	2
