N	3gram	Medvedev_F_1	Problemy
1	в то же	8	12
2	то же время	8	12
3	на самом деле	6	10
4	и т п	4	6
5	не может быть	5	6
6	во всяком случае	4	5
7	по отношению к	4	5
8	с точки зрения	13	4
9	бы то ни	3	4
10	и не в	2	3
11	но в то	2	3
12	смысле этого слова	3	2
13	и в этом	2	2
14	так и в	4	2
15	а вовсе не	2	2
16	в его целом	8	2
17	и т д	8	2
18	в большинстве случаев	2	2
19	и не может	2	2
20	как мы видели	2	2
21	и наконец в	2	2
22	может войти в	2	2
23	сама по себе	2	2
24	сводится к тому	2	2
25	как и все	2	2
