N	3gram	Tiupa_Vved_1	Narrotol
1	в том что	3	8
2	с одной стороны	5	7
3	о том что	4	6
4	по отношению к	7	6
5	в отличие от	2	5
6	не может быть	3	5
7	той или иной	2	4
8	в данном случае	6	4
9	к тому же	4	4
10	то же время	3	3
11	состоит в том	2	3
12	в этом отношении	4	3
13	и тем самым	2	3
14	в свою очередь	4	3
15	коммуникативного события рассказывания	2	3
16	в то же	4	3
17	тем не менее	3	3
18	свидетель и судия	2	2
19	при всей своей	2	2
20	и представляет собой	2	2
21	присутствия в мире	2	2
22	мы имеем дело	3	2
23	не сводится к	4	2
24	более или менее	2	2
25	не только в	2	2
26	подобно тому как	2	2
27	в этом ряду	2	2
28	можно было бы	2	2
