N	2gram	Voloshinov_1	Vvedenie
1	и в	15	32
2	в том	4	31
3	в этом	13	30
4	может быть	13	26
5	том что	5	26
6	не только	5	22
7	того чтобы	2	20
8	таким образом	21	19
9	то что	10	16
10	потому что	4	15
11	так как	9	15
12	не может	13	14
13	в самом	6	13
14	в нем	4	13
15	со стороны	2	13
16	того что	2	12
17	и не	16	12
18	как на	3	12
19	в его	9	12
20	только в	6	12
21	как мы	10	11
22	что такое	3	11
23	в ее	4	11
24	в данном	3	11
25	что в	6	10
26	но в	9	9
27	в истории	3	9
28	между тем	2	9
29	по себе	2	9
30	то же	7	9
31	не менее	3	8
32	это не	2	8
33	тем не	2	8
34	не в	4	8
35	именно в	3	8
36	прежде всего	11	7
37	точки зрения	13	7
38	но не	5	7
39	было бы	6	7
40	все же	5	7
41	самом деле	7	7
42	не могут	3	6
43	из этих	4	6
44	до сих	3	6
45	смысле слова	2	6
46	же время	5	6
47	один из	4	6
48	но и	4	6
49	все это	5	6
50	и даже	2	6
51	в то	6	6
52	его в	8	6
53	вовсе не	2	6
54	как и	6	6
55	в качестве	2	6
56	сих пор	3	6
57	хотя бы	7	6
58	и его	15	6
59	но если	2	5
60	как бы	11	5
61	в целом	2	5
62	данном случае	3	5
63	одним из	3	5
64	с их	3	5
65	сказать что	6	5
66	об этом	4	5
67	в г	3	5
68	есть и	2	5
69	на почве	2	5
70	вместе с	4	5
71	в течение	2	5
72	а не	2	5
73	могут быть	6	5
74	всяком случае	3	4
75	этот процесс	4	4
76	по отношению	11	4
77	этом отношении	2	4
78	и что	3	4
79	а в	6	4
80	одно из	3	4
81	в первом	2	4
82	что он	8	4
83	еще не	7	4
84	отношению к	9	4
85	в своей	9	4
86	как раз	2	4
87	это только	2	4
88	уже не	5	4
89	и для	2	4
90	той же	2	4
91	и то	2	4
92	во всяком	4	4
93	и ее	3	4
94	в себе	4	4
95	совсем не	5	3
96	он сам	4	3
97	что это	3	3
98	и есть	2	3
99	в этих	2	3
100	а потому	2	3
101	в собственном	2	3
102	бы и	2	3
103	можно сказать	4	3
104	к тому	4	3
105	что может	3	3
106	но все	2	3
107	в этой	5	3
108	на этом	5	3
109	до конца	5	3
110	при этом	7	3
111	в ней	5	3
112	из наиболее	3	3
113	к нему	7	3
114	мы видели	5	3
115	на этой	2	3
116	отношение к	7	3
117	во второй	5	3
118	что она	2	3
119	в своем	2	3
120	все эти	9	3
121	и вот	6	3
122	этой области	3	3
123	и на	3	3
124	если бы	3	3
125	этой науки	2	3
126	к этому	7	3
127	в различных	2	3
128	и к	7	3
129	материал для	2	3
130	в чем	4	3
131	в одном	3	3
132	должен быть	2	3
133	что и	2	3
134	наука о	2	3
135	дело в	2	3
136	что же	4	3
137	на основании	2	3
138	в центре	3	3
139	в каком	3	3
140	или как	3	3
141	ответ на	2	3
142	в области	3	3
143	в основу	2	2
144	все время	4	2
145	и другие	2	2
146	никогда не	7	2
147	них не	2	2
148	тому что	3	2
149	для этого	4	2
150	в отношении	2	2
151	в дальнейшем	2	2
152	но это	2	2
153	всего к	3	2
154	наших дней	2	2
155	и др	8	2
156	значение в	3	2
157	от того	3	2
158	не было	4	2
159	о них	2	2
160	с помощью	9	2
161	во втором	3	2
162	должно быть	2	2
163	рядом с	2	2
164	не следует	2	2
165	в более	3	2
166	и с	7	2
167	чем же	5	2
168	с этим	6	2
169	нуждается в	2	2
170	он и	2	2
171	этому времени	2	2
172	бы в	2	2
173	так и	10	2
174	сообщение и	2	2
175	и творчества	2	2
176	не существует	3	2
177	этого не	2	2
178	для них	3	2
179	уже знаем	3	2
180	и со	2	2
181	у нас	3	2
182	и при	3	2
183	учение о	2	2
184	во всех	8	2
185	что мы	2	2
186	мы должны	7	2
187	жизни и	5	2
188	мы уже	5	2
189	в этот	4	2
190	и до	3	2
191	быть и	2	2
192	мысли и	4	2
193	только на	2	2
194	и всего	2	2
195	из того	2	2
196	о которой	2	2
197	между ними	2	2
198	с точки	10	2
199	мы не	4	2
200	мы можем	12	2
201	время в	2	2
202	выражение в	2	2
203	на протяжении	5	2
204	будто бы	2	2
205	и истории	2	2
206	одна из	3	2
207	ничего не	2	2
208	но вместе	2	2
