N	3gram	Vygotskiy__6	EvropaiC
1	в том что	19	16
2	до сих пор	3	12
3	по отношению к	10	10
4	друг с другом	5	9
5	с точки зрения	10	8
6	мы знаем что	3	7
7	на то что	4	7
8	для того чтобы	8	6
9	по сравнению с	14	5
10	не может быть	2	4
11	в этой области	2	4
12	в своем развитии	4	4
13	с другой стороны	2	4
14	в этом случае	2	4
15	и того же	4	3
16	так же как	6	3
17	в том же	2	3
18	одного и того	4	3
19	в связи с	2	3
20	и то что	2	3
21	заключается в том	5	3
22	не в состоянии	2	2
23	несмотря на то	2	2
24	друг к другу	3	2
25	только то что	2	2
26	именно потому что	2	2
27	вместе с тем	2	2
28	принять во внимание	2	2
