N	2gram	Bakhtin_KF_1	Komedia
1	и в	24	22
2	и не	26	21
3	том что	4	13
4	в том	6	12
5	со стороны	7	11
6	ни в	12	10
7	потому что	2	10
8	если бы	8	8
9	в своем	16	8
10	что он	2	8
11	в его	40	8
12	что и	7	8
13	в этом	14	8
14	о том	3	8
15	его в	5	8
16	при этом	4	7
17	в свою	3	7
18	то же	5	7
19	не по	4	7
20	едва ли	2	7
21	а в	4	7
22	к этому	2	6
23	ясно что	3	6
24	еще не	4	6
25	для того	3	6
26	может быть	45	6
27	самом деле	3	6
28	того чтобы	2	6
29	и его	17	6
30	в то	3	6
31	не менее	3	5
32	что в	4	5
33	же время	2	5
34	прежде всего	2	5
35	а по	2	5
36	не только	5	5
37	в своей	10	5
38	отношение к	5	5
39	все это	10	5
40	по отношению	26	5
41	он не	6	5
42	тем что	3	5
43	к нему	12	5
44	к себе	2	5
45	с ним	5	5
46	но в	5	5
47	с тем	2	4
48	но все	5	4
49	отнюдь не	6	4
50	вовсе не	7	4
51	нет и	3	4
52	и здесь	7	4
53	все же	5	4
54	не в	12	4
55	не дает	3	4
56	до конца	3	4
57	в ней	3	4
58	здесь нет	2	4
59	то что	7	4
60	но и	9	4
61	а не	17	4
62	и для	9	4
63	точки зрения	12	4
64	в себе	21	4
65	так и	2	4
66	хотя бы	4	4
67	никогда не	5	3
68	то ни	2	3
69	если не	2	3
70	в нем	28	3
71	нисколько не	4	3
72	тем не	2	3
73	в ее	16	3
74	как и	5	3
75	в этой	2	3
76	по своему	3	3
77	было бы	8	3
78	и мы	2	3
79	бы он	2	3
80	конечно не	7	3
81	к ним	4	3
82	как бы	9	3
83	из себя	8	3
84	один из	2	3
85	отношению к	22	3
86	в целом	10	3
87	дело с	2	3
88	не может	27	3
89	что не	3	3
90	с точки	9	3
91	не имеет	5	3
92	не о	2	3
93	говорить о	2	3
94	не знает	5	3
95	и этим	3	3
96	ничего не	3	3
97	в основе	5	2
98	ни было	4	2
99	себя и	2	2
100	в качестве	2	2
101	не как	4	2
102	как в	2	2
103	не будет	2	2
104	это не	10	2
105	и все	7	2
106	в одном	4	2
107	и я	5	2
108	а как	2	2
109	из его	3	2
110	бы то	2	2
111	только как	4	2
112	совершенно не	6	2
113	от того	3	2
114	в котором	24	2
115	был бы	3	2
116	должен быть	7	2
117	во всех	11	2
118	отношению ко	4	2
119	дело не	2	2
120	в их	8	2
121	бы не	3	2
122	не было	8	2
123	мы не	3	2
124	в мире	6	2
125	из которых	2	2
126	отказаться от	2	2
127	от своей	5	2
128	в своих	3	2
129	и на	3	2
130	людей и	2	2
131	тому что	2	2
132	между тем	4	2
133	он и	2	2
134	и ее	2	2
135	в другом	3	2
136	его на	2	2
137	ближе к	3	2
138	и это	12	2
139	что эта	2	2
140	здесь не	3	2
141	в области	2	2
142	в виду	3	2
