N	2gram	Bakhtin_Pr_2	FransuaR
1	и в	43	56
2	то есть	4	24
3	в романе	3	21
4	в его	10	18
5	таким образом	5	17
6	все эти	5	15
7	в этом	13	14
8	в том	6	13
9	так и	3	13
10	и его	8	12
11	он был	3	12
12	в то	7	12
13	в этих	6	11
14	до конца	4	11
15	как бы	22	11
16	в них	4	11
17	то же	8	11
18	же время	5	10
19	еще не	9	10
20	мы уже	3	10
21	и до	4	10
22	только в	4	9
23	в самом	7	9
24	но и	14	9
25	и не	29	9
26	том что	2	8
27	по своему	2	8
28	в сущности	9	8
29	не только	11	8
30	и др	2	8
31	в нем	12	8
32	во всех	4	8
33	сих пор	7	8
34	и их	3	8
35	все это	5	8
36	и даже	3	8
37	до сих	7	8
38	и с	5	8
39	у него	6	7
40	в большинстве	9	7
41	уже говорили	3	7
42	как мы	10	7
43	и на	10	7
44	прежде всего	10	6
45	вовсе не	5	6
46	в той	5	6
47	той же	3	6
48	точки зрения	13	6
49	и все	6	6
50	большинстве случаев	8	6
51	но в	10	6
52	но не	5	5
53	с его	4	5
54	никогда не	9	5
55	в отношении	3	5
56	в пределах	16	5
57	как и	14	5
58	есть и	3	5
59	он не	9	5
60	в процессе	2	5
61	что в	4	5
62	в творчестве	2	5
63	в результате	4	5
64	говорили что	2	5
65	во время	4	5
66	такой же	3	5
67	так сказать	6	5
68	времени и	2	4
69	не был	2	4
70	что это	2	4
71	и ее	3	4
72	переходим к	3	4
73	в себе	5	4
74	его романе	2	4
75	например в	2	4
76	и к	3	4
77	конечно не	2	4
78	за пределы	3	4
79	наконец в	3	4
80	даже в	3	4
81	при этом	6	4
82	в своих	2	4
83	их в	4	4
84	во всем	3	4
85	ту же	2	4
86	о том	5	4
87	так как	4	4
88	одна из	2	4
89	перед нами	7	3
90	со всею	3	3
91	в своем	4	3
92	в образе	2	3
93	и здесь	3	3
94	так что	5	3
95	слов и	5	3
96	более того	4	3
97	здесь в	3	3
98	кроме того	3	3
99	в первой	2	3
100	может быть	23	3
101	и о	2	3
102	в настоящее	2	3
103	здесь нет	3	3
104	что и	3	3
105	то что	7	3
106	образом и	3	3
107	в форме	2	3
108	в их	3	3
109	не на	4	3
110	там где	4	3
111	здесь мы	2	3
112	уже не	3	3
113	и наконец	6	3
114	не в	11	3
115	мы наблюдаем	2	3
116	рядом с	5	3
117	здесь с	2	3
118	сказать что	2	3
119	между тем	3	3
120	речи и	4	3
121	но он	4	3
122	в другом	7	3
123	настоящее время	2	3
124	его к	2	3
125	слова и	12	3
126	бы в	5	3
127	все его	2	3
128	себя на	2	2
129	если бы	3	2
130	в виде	3	2
131	о себе	7	2
132	в речи	5	2
133	с другой	4	2
134	это не	3	2
135	уже в	2	2
136	не как	6	2
137	в одном	12	2
138	человека и	2	2
139	для понимания	2	2
140	что он	13	2
141	конечно в	2	2
142	бы и	2	2
143	точек зрения	4	2
144	ни было	2	2
145	и еще	2	2
146	ни в	2	2
147	узком смысле	2	2
148	и как	2	2
149	но это	4	2
150	в узком	2	2
151	то время	2	2
152	для него	8	2
153	с их	2	2
154	было бы	5	2
155	и сам	7	2
156	из них	2	2
157	себе и	4	2
158	а в	5	2
159	и эта	2	2
160	хотя и	5	2
161	между ними	4	2
162	что на	2	2
163	в котором	6	2
164	еще один	3	2
165	его жизни	2	2
166	все же	3	2
167	в точке	2	2
168	в своей	4	2
169	когда он	3	2
170	вот как	4	2
171	самом деле	5	2
172	ни одного	4	2
173	или менее	3	2
174	только на	3	2
175	другой стороны	3	2
176	целый ряд	2	2
177	так же	2	2
178	как раз	4	2
179	не может	18	2
180	того как	2	2
181	и явления	2	2
182	а не	7	2
183	устной речи	3	2
184	с собой	4	2
185	к нему	5	2
186	и для	3	2
187	с точки	8	2
188	его в	3	2
189	в слове	5	2
190	мы не	4	2
191	между собою	4	2
192	и то	2	2
193	также и	3	2
194	в которых	2	2
195	и при	2	2
196	он и	3	2
197	той или	3	2
198	далеко не	4	2
199	дело в	2	2
200	нашей работы	2	2
201	с ним	3	2
202	более или	3	2
203	в эту	3	2
204	он говорит	2	2
