N	2gram	Tiupa_Hudo_1	Problemy
1	и в	19	35
2	как бы	9	31
3	и не	15	27
4	что он	3	24
5	в его	9	21
6	но в	7	19
7	не может	7	18
8	как и	2	18
9	о себе	2	17
10	в нем	5	16
11	то есть	18	16
12	то же	10	15
13	с самим	2	15
14	но и	10	14
15	для него	4	14
16	может быть	14	14
17	все это	2	14
18	и его	12	14
19	в этом	11	14
20	к нему	3	13
21	он не	4	13
22	прежде всего	4	12
23	и к	3	12
24	в другом	3	12
25	в пределах	3	11
26	в то	6	11
27	слова и	2	11
28	не в	7	10
29	же время	5	10
30	не только	16	10
31	то что	4	10
32	героя и	5	10
33	в отношении	3	9
34	самим собою	2	9
35	я не	2	8
36	так и	11	8
37	себя и	2	8
38	к герою	2	8
39	потому что	3	8
40	и для	2	8
41	лишь в	4	7
42	так же	2	7
43	а в	12	7
44	самим собой	4	7
45	точки зрения	10	7
46	с ним	2	7
47	с его	6	7
48	вовсе не	2	7
49	еще не	3	7
50	для себя	2	7
51	отношению к	9	7
52	отношении к	2	7
53	таким образом	3	7
54	слова в	2	6
55	что в	6	6
56	к тому	4	6
57	и что	3	6
58	отношение к	5	6
59	в самом	5	6
60	и на	2	6
61	не знает	3	6
62	в одном	2	6
63	но не	11	6
64	и т.п	4	6
65	в слове	3	6
66	по отношению	9	6
67	только в	5	6
68	в том	18	5
69	в глаза	2	5
70	как к	2	5
71	от себя	3	5
72	этого слова	2	5
73	даже в	3	5
74	как в	2	5
75	внутренней речи	14	5
76	и то	4	5
77	в себе	9	5
78	и это	2	5
79	никогда не	2	4
80	с другой	7	4
81	или иной	7	4
82	в мире	21	4
83	между тем	4	4
84	но он	3	4
85	той или	4	4
86	но как	2	4
87	его в	2	4
88	как раз	3	4
89	в них	2	4
90	по себе	2	4
91	по своему	2	4
92	в своей	5	4
93	в той	3	4
94	а не	9	4
95	я в	11	4
96	в чем	2	4
97	в повести	2	3
98	в виду	5	3
99	с ее	5	3
100	в целом	3	3
101	другой стороны	5	3
102	в форме	4	3
103	я как	2	3
104	все эти	2	3
105	того что	4	3
106	это не	2	3
107	сказать что	4	3
108	говорить о	3	3
109	человека с	3	3
110	не как	2	3
111	этом смысле	3	3
112	в ее	5	3
113	том что	8	3
114	одно и	3	3
115	за пределы	2	3
116	во всех	3	3
117	другим и	2	3
118	что и	2	3
119	а с	2	3
120	сводится к	7	3
121	уже не	4	3
122	и т.д	3	3
123	не менее	3	2
124	времени и	2	2
125	в душе	8	2
126	внутренний голос	2	2
127	в сторону	2	2
128	ни был	2	2
129	в этих	3	2
130	тому что	2	2
131	ни в	5	2
132	при этом	13	2
133	например в	3	2
134	совпадает с	2	2
135	хотя и	3	2
136	мог бы	3	2
137	в своем	2	2
138	и по	2	2
139	их в	3	2
140	по своей	7	2
141	о том	2	2
142	в произведении	3	2
143	герой не	3	2
144	я и	7	2
145	мире и	2	2
146	однако в	4	2
147	в жизни	2	2
148	этих двух	2	2
149	и того	2	2
150	то в	2	2
151	слове о	2	2
152	одной из	2	2
153	еще один	2	2
154	себя в	7	2
155	своего рода	5	2
156	быть и	2	2
157	приводит к	5	2
158	так в	4	2
159	в отличие	7	2
160	и как	3	2
161	с точки	3	2
162	в которой	2	2
163	без исключения	4	2
164	или в	2	2
165	с другими	4	2
166	в рассказе	3	2
167	не случайно	3	2
168	между двумя	2	2
169	всей своей	2	2
170	передо мной	2	2
171	из этого	2	2
172	отличие от	7	2
