N	2gram	Vinokur_St_2	Istorich
1	и т	9	27
2	и в	29	26
3	т д	6	24
4	т е	10	18
5	так же	3	18
6	то что	11	16
7	не только	19	15
8	что в	19	14
9	может быть	2	14
10	же как	3	13
11	но и	19	12
12	связь с	2	12
13	и пр	8	11
14	что он	13	10
15	так и	9	10
16	таким образом	10	10
17	и его	6	10
18	при помощи	4	10
19	что и	2	9
20	все же	6	9
21	и не	9	9
22	его в	2	9
23	так как	2	9
24	то же	2	8
25	в этих	3	7
26	во время	2	7
27	об этом	6	7
28	как и	2	7
29	в качестве	5	7
30	он не	9	7
31	как в	3	7
32	в этом	21	7
33	что они	2	6
34	вместе с	7	6
35	не может	2	6
36	а не	5	6
37	потому что	9	6
38	как он	2	6
39	совершенно так	2	6
40	и как	2	5
41	в одном	6	5
42	к этому	4	5
43	но все	7	5
44	но не	3	5
45	ничего не	4	5
46	в его	13	5
47	до сих	6	5
48	и др	2	5
49	сих пор	5	5
50	в некоторых	2	5
51	и что	6	5
52	и по	3	5
53	не в	4	5
54	и с	4	5
55	тем что	3	5
56	и здесь	3	5
57	в другом	4	5
58	но в	8	5
59	раньше чем	4	5
60	с другой	4	4
61	на себя	3	4
62	вовсе не	6	4
63	вопрос о	6	4
64	в тех	2	4
65	такое же	2	4
66	в своей	7	4
67	даже в	2	4
68	другой стороны	3	4
69	тогда как	2	4
70	того как	7	4
71	и даже	3	4
72	что этот	2	4
73	но он	3	4
74	о том	17	4
75	интересно что	3	4
76	в числе	2	4
77	только что	2	3
78	на вопрос	3	3
79	и более	2	3
80	что у	4	3
81	в одной	2	3
82	в образе	3	3
83	к своему	2	3
84	в том	27	3
85	а затем	2	3
86	по существу	2	3
87	том что	27	3
88	но это	3	3
89	при этом	2	3
90	и другие	2	3
91	например в	3	3
92	на его	2	3
93	как бы	5	3
94	все эти	2	3
95	а также	2	3
96	и он	3	3
97	на то	2	3
98	не на	2	3
99	как это	2	3
100	не мог	3	3
101	не имеет	2	3
102	в данном	2	3
103	связан с	3	3
104	связи с	4	3
105	только в	2	3
106	в русской	5	3
107	что эта	3	3
108	там где	2	3
109	должен был	4	3
110	о чем	5	3
111	из таких	2	2
112	с тем	7	2
113	ниже в	2	2
114	не менее	3	2
115	никогда не	3	2
116	в своем	9	2
117	с этим	3	2
118	а как	4	2
119	по себе	3	2
120	тем не	2	2
121	его как	2	2
122	ни в	3	2
123	говорит о	2	2
124	так что	3	2
125	сомнения что	3	2
126	что я	2	2
127	в истории	2	2
128	не дает	2	2
129	после того	4	2
130	было бы	5	2
131	если бы	2	2
132	такого рода	2	2
133	между прочим	12	2
134	у нас	3	2
135	в частности	4	2
136	хотя и	4	2
137	два года	2	2
138	что на	3	2
139	не могло	3	2
140	хотя бы	3	2
141	в нем	4	2
142	с той	2	2
143	не к	2	2
144	из них	3	2
145	не по	2	2
146	дело не	2	2
147	все это	11	2
148	что это	3	2
149	в языке	5	2
150	этот вопрос	2	2
151	того что	5	2
152	только с	2	2
153	на этот	2	2
154	по его	3	2
155	и на	6	2
156	с этой	2	2
157	сказать что	2	2
158	в себе	2	2
159	в этой	2	2
160	на это	2	2
161	в особенности	2	2
162	в области	2	2
163	говорит об	2	2
164	так например	7	2
