N	2gram	Bakhtin_Fr_2	Psycholo
1	то что	6	37
2	и в	49	30
3	в том	3	27
4	что в	2	24
5	том что	4	21
6	таким образом	7	20
7	того чтобы	2	20
8	как бы	11	19
9	что он	3	17
10	на то	2	17
11	не только	17	16
12	в самом	3	14
13	в этом	15	14
14	так же	2	13
15	то есть	32	13
16	одной стороны	3	12
17	в сущности	8	12
18	вместе с	2	12
19	с одной	3	12
20	может быть	5	11
21	как на	4	11
22	о том	3	10
23	никогда не	5	9
24	с другой	4	9
25	не может	7	9
26	сказать что	6	9
27	так как	6	9
28	при этом	5	8
29	могут быть	2	8
30	и это	3	8
31	в нем	9	7
32	но не	5	7
33	мы можем	2	7
34	все же	7	7
35	то же	7	7
36	точки зрения	6	7
37	уже в	5	6
38	в своем	5	6
39	именно в	6	6
40	как и	11	6
41	совершенно не	2	6
42	но и	13	6
43	и не	15	6
44	жизни и	7	6
45	и его	17	6
46	тем что	4	6
47	мы уже	6	6
48	несмотря на	3	5
49	как мы	7	5
50	и потому	5	5
51	в этой	10	5
52	что они	2	5
53	еще не	2	5
54	до сих	4	5
55	было бы	3	5
56	один из	7	5
57	сих пор	4	5
58	другой стороны	3	5
59	именно на	2	5
60	рядом с	6	5
61	в своих	4	5
62	в себе	4	5
63	но в	4	5
64	только в	13	5
65	сравнению с	2	4
66	и все	3	4
67	прежде всего	19	4
68	и к	4	4
69	в своей	5	4
70	в ней	2	4
71	в его	18	4
72	в него	2	4
73	в них	13	4
74	по сравнению	2	4
75	а в	4	4
76	там где	4	4
77	в конце	2	4
78	должен был	2	4
79	о чем	3	4
80	в виду	3	4
81	под влиянием	2	3
82	и другие	2	3
83	у него	2	3
84	из этих	5	3
85	это в	2	3
86	вовсе не	10	3
87	эти два	2	3
88	одна из	4	3
89	для него	9	3
90	тот же	5	3
91	в ее	3	3
92	на его	2	3
93	ни в	3	3
94	так и	6	3
95	в их	2	3
96	так например	2	3
97	так в	3	3
98	времени и	6	3
99	этом отношении	3	3
100	по поводу	2	3
101	и о	4	3
102	целый ряд	2	3
103	можно было	3	3
104	но он	6	3
105	и на	17	3
106	в другом	2	3
107	мы должны	2	3
108	в этих	4	3
109	в отношении	2	2
110	с его	5	2
111	связи с	2	2
112	понятно что	2	2
113	в противоположность	2	2
114	в одном	3	2
115	можно сказать	2	2
116	же в	3	2
117	он был	2	2
118	до конца	2	2
119	а затем	3	2
120	в романе	9	2
121	по существу	2	2
122	но все	4	2
123	и под	3	2
124	не дает	3	2
125	в большей	3	2
126	по преимуществу	2	2
127	и эта	2	2
128	очень хорошо	2	2
129	и следовательно	2	2
130	в качестве	2	2
131	еще в	2	2
132	себе и	2	2
133	из них	3	2
134	во всех	6	2
135	и до	4	2
136	отношения к	4	2
137	в форме	4	2
138	все это	9	2
139	того как	2	2
140	в течение	3	2
141	это и	2	2
142	в себя	6	2
143	мы находим	4	2
144	и вот	3	2
145	с точки	5	2
146	и даже	2	2
147	он видит	2	2
148	к этим	3	2
149	ничего не	2	2
150	и с	6	2
151	в нашем	2	2
152	он дает	2	2
153	даже и	2	2
154	что касается	2	2
155	во всем	3	2
156	в то	6	2
157	все эти	7	2
158	он как	2	2
159	на самом	2	2
