N	2gram	Ircho_Kome_3	Tvorches
1	и в	22	20
2	не только	5	13
3	и т	4	13
4	никогда не	3	11
5	как бы	3	11
6	в его	8	10
7	таким образом	12	10
8	в то	6	10
9	и его	6	9
10	и не	21	9
11	прежде всего	5	8
12	в том	12	8
13	при этом	7	8
14	но и	4	8
15	может быть	6	8
16	в этом	8	8
17	и с	4	8
18	это не	2	7
19	представление о	2	7
20	же время	5	7
21	наряду с	2	7
22	что в	5	7
23	не может	3	7
24	то же	7	7
25	потому что	10	7
26	у него	4	6
27	в конце	7	6
28	что он	8	6
29	как и	3	6
30	в целом	3	6
31	в своей	5	6
32	так и	4	6
33	все это	5	6
34	а не	4	6
35	если он	2	5
36	в мире	2	5
37	еще не	6	5
38	и сам	5	5
39	все же	4	5
40	и даже	3	5
41	так же	4	5
42	и на	2	5
43	в этой	3	5
44	о том	8	5
45	об этом	7	4
46	мы не	2	4
47	том что	13	4
48	что они	2	4
49	отнюдь не	4	4
50	на его	2	4
51	хотя и	5	4
52	что она	4	4
53	когда он	4	4
54	как в	2	4
55	в известной	2	4
56	если не	3	4
57	не в	4	4
58	а в	7	4
59	ничего не	3	4
60	если бы	8	4
61	но в	5	4
62	с этой	3	3
63	человека и	2	3
64	в образе	2	3
65	к этому	6	3
66	с ним	5	3
67	а затем	2	3
68	отношению к	3	3
69	х годов	2	3
70	что не	3	3
71	одной из	3	3
72	в самом	9	3
73	и мы	3	3
74	он не	5	3
75	в котором	2	3
76	не является	4	3
77	один из	3	3
78	в нем	3	3
79	то что	4	3
80	и это	2	3
81	вместе с	9	3
82	сих пор	9	3
83	в их	2	3
84	по отношению	5	3
85	по мнению	2	3
86	так как	11	3
87	человека в	2	3
88	одним из	2	3
89	в таком	2	3
90	тем что	5	3
91	в своих	2	3
92	в которых	5	3
93	в себе	4	3
94	в начале	3	3
95	его в	8	3
96	любви к	5	3
97	нет ничего	2	3
98	между тем	2	3
99	до сих	9	3
100	уже в	2	2
101	все время	2	2
102	не менее	5	2
103	и без	2	2
104	с другой	4	2
105	в одном	2	2
106	не мешает	2	2
107	вовсе не	4	2
108	во всяком	3	2
109	и ее	2	2
110	в ее	3	2
111	что его	5	2
112	тому же	6	2
113	так что	6	2
114	при виде	3	2
115	брак с	2	2
116	доводит до	2	2
117	и если	2	2
118	в произведениях	2	2
119	в частности	3	2
120	но если	3	2
121	отказаться от	2	2
122	в руки	2	2
123	всяком случае	3	2
124	нет и	4	2
125	только для	2	2
126	на него	4	2
127	с полным	3	2
128	приводит к	3	2
129	т п	4	2
130	бы не	2	2
131	ли не	2	2
132	не было	2	2
133	самом деле	6	2
134	и что	6	2
135	на этот	3	2
136	другой стороны	2	2
137	и он	2	2
138	не так	3	2
139	друг друга	4	2
140	роль в	2	2
141	из этой	2	2
142	с другими	2	2
143	тут же	4	2
144	в основе	2	2
145	из них	5	2
146	в которой	3	2
147	и еще	3	2
148	говорить о	3	2
149	из этого	2	2
150	их в	3	2
151	едва ли	7	2
152	отличие от	2	2
153	и поэтому	4	2
