N	2gram	Medvedev_U_1	Problemy
1	и в	14	34
2	и не	8	29
3	что он	2	23
4	в его	2	22
5	может быть	6	19
6	не может	7	19
7	как и	3	18
8	но в	3	16
9	все это	5	16
10	в этом	7	16
11	и с	2	15
12	прежде всего	8	15
13	то же	5	14
14	самом деле	2	13
15	для него	3	13
16	но и	4	12
17	же время	3	12
18	в то	3	12
19	то что	7	11
20	не только	10	10
21	не в	2	9
22	а не	10	9
23	в самом	2	8
24	и для	2	8
25	все же	3	7
26	с его	2	6
27	в себе	2	6
28	только в	2	6
29	это не	3	5
30	в конце	2	5
31	таким образом	2	5
32	что и	2	5
33	и у	2	5
34	хотя бы	5	5
35	то ни	3	4
36	с другой	4	4
37	что все	2	4
38	ни было	3	4
39	но это	2	4
40	не о	3	4
41	бы то	3	4
42	даже и	2	4
43	если бы	2	4
44	как раз	2	4
45	этом смысле	2	4
46	но не	2	4
47	бы и	2	4
48	тем что	2	4
49	ничего не	2	4
50	для этого	3	3
51	в том	2	3
52	другой стороны	3	3
53	его и	2	3
54	как такового	3	3
55	конце концов	2	3
56	не как	3	3
57	по крайней	2	3
58	по себе	2	3
59	том что	2	3
60	между тем	2	3
61	крайней мере	2	3
62	в своей	3	3
63	если не	2	3
64	сводится к	2	3
65	и то	3	3
66	а между	2	3
67	это было	2	3
68	в сторону	2	2
69	это уже	2	2
70	мы и	2	2
71	что такое	4	2
72	и только	5	2
73	а как	2	2
74	всех этих	2	2
75	смысле этого	2	2
76	надо было	2	2
77	должна была	2	2
78	было бы	3	2
79	конечно не	4	2
80	же не	2	2
81	о чем	2	2
