N	2gram	Bakhtin_Pr_2	Myshleni
1	в том	8	42
2	том что	7	35
3	в процессе	2	27
4	таким образом	11	25
5	в развитии	2	25
6	точки зрения	19	24
7	в этом	20	24
8	и в	45	20
9	что в	6	19
10	в основе	2	17
11	то же	5	16
12	то что	5	15
13	не только	16	15
14	что они	3	14
15	как мы	8	13
16	при этом	2	12
17	в их	4	12
18	потому что	8	12
19	может быть	18	12
20	в целом	5	11
21	так же	5	11
22	в его	22	11
23	мы должны	4	11
24	с точки	9	11
25	этого слова	2	11
26	своего развития	2	10
27	того что	3	10
28	на основе	2	10
29	в истории	2	10
30	так как	5	10
31	мы видим	2	10
32	в себе	5	10
33	только в	9	10
34	слова в	4	9
35	и другие	4	9
36	и как	2	9
37	но и	15	9
38	как это	2	9
39	как и	14	9
40	тот же	2	9
41	что и	5	9
42	и не	42	8
43	и что	2	8
44	в результате	3	8
45	этом смысле	5	8
46	было бы	4	8
47	и более	2	7
48	друг с	2	7
49	как бы	15	7
50	смысле этого	2	7
51	этом отношении	2	7
52	с другом	2	7
53	в своей	6	7
54	самом деле	4	7
55	тем самым	2	7
56	а не	10	7
57	тем что	2	7
58	могут быть	4	7
59	уже в	4	6
60	одного и	2	6
61	же как	4	6
62	мы видели	3	6
63	в самом	13	6
64	не может	24	6
65	те же	2	6
66	и на	7	6
67	сказать что	5	6
68	его в	3	6
69	слово в	3	6
70	что он	7	6
71	можно было	2	6
72	перед нами	4	5
73	никогда не	17	5
74	это не	3	5
75	на то	2	5
76	не является	3	5
77	если бы	2	5
78	и его	8	5
79	и к	2	5
80	все же	4	5
81	о том	3	5
82	мы уже	3	5
83	так и	3	5
84	как в	4	5
85	все эти	4	5
86	мы можем	4	5
87	все время	3	4
88	в нашем	2	4
89	в своем	5	4
90	и той	3	4
91	из них	9	4
92	этой точки	2	4
93	друг друга	7	4
94	как он	4	4
95	в сознании	2	4
96	и с	7	4
97	к этому	4	4
98	по выражению	2	4
99	в смысле	2	4
100	в сущности	7	4
101	по сравнению	2	4
102	только что	2	4
103	нами в	4	4
104	между ними	4	4
105	не в	8	4
106	и для	2	4
107	которые в	2	4
108	в области	2	4
109	не менее	2	3
110	в этих	4	3
111	и от	3	3
112	что все	3	3
113	а только	2	3
114	так что	2	3
115	от того	2	3
116	одной из	2	3
117	в условиях	2	3
118	в виду	2	3
119	один из	2	3
120	со стороны	4	3
121	именно в	3	3
122	и других	3	3
123	должно быть	4	3
124	на его	5	3
125	но в	6	3
126	сравнению с	2	3
127	идет о	2	3
128	бы в	5	3
129	но не	6	3
130	себя в	2	3
131	ни в	2	3
132	ничего общего	2	3
133	что эта	2	3
134	в чем	2	3
135	в которой	2	3
136	том числе	2	2
137	должна быть	3	2
138	числе и	2	2
139	целом ряде	2	2
140	в каждом	4	2
141	прежде всего	11	2
142	со всей	2	2
143	мы и	3	2
144	что если	3	2
145	для него	9	2
146	для построения	2	2
147	и у	2	2
148	одним из	3	2
149	не совсем	2	2
150	они могут	3	2
151	в ней	7	2
152	в нем	20	2
153	к нему	11	2
154	уже говорили	2	2
155	другими словами	2	2
156	не по	3	2
157	этой области	2	2
158	они не	2	2
159	не имеет	3	2
160	а в	3	2
161	не знает	4	2
162	опирается на	2	2
163	и здесь	2	2
164	но как	2	2
165	в начале	2	2
166	их в	7	2
167	мы имеем	2	2
168	у него	6	2
169	таким же	2	2
170	стадии своего	2	2
171	зависимости от	3	2
172	еще не	9	2
173	он говорит	2	2
174	свое время	2	2
175	которую он	3	2
176	далеко не	4	2
177	в свое	2	2
178	даже в	6	2
179	не есть	2	2
180	мысли и	3	2
181	и т.п	6	2
182	входит в	9	2
183	того как	3	2
184	а с	3	2
185	если не	2	2
186	в той	3	2
187	слово и	2	2
188	и он	3	2
189	в таком	3	2
190	тому как	2	2
191	подобно тому	2	2
192	может стать	2	2
193	и т.д	3	2
194	здесь не	2	2
