N	2gram	Bakhtin_Fr_8	NovoeSre
1	а не	2	17
2	не может	2	16
3	и в	56	16
4	нового времени	2	12
5	совсем не	2	12
6	и не	9	11
7	что в	5	9
8	в эпоху	10	9
9	он не	5	8
10	в том	13	8
11	средние века	2	7
12	культуры и	2	7
13	как и	5	7
14	в этом	14	7
15	может быть	3	7
16	с его	5	6
17	никогда не	5	6
18	не в	3	6
19	но это	2	6
20	ни в	2	6
21	в нем	8	5
22	все это	8	5
23	с ее	5	5
24	культуры в	2	5
25	и к	4	5
26	в ней	4	5
27	не только	8	5
28	то что	3	4
29	в них	11	4
30	это не	2	4
31	и все	6	4
32	не было	5	4
33	новое время	2	4
34	и для	2	4
35	эпохи и	6	4
36	потому что	6	4
37	по своему	8	4
38	прежде всего	6	4
39	о том	4	4
40	и потому	4	4
41	но и	9	3
42	в средние	2	3
43	в своей	2	3
44	с другой	2	3
45	человека и	2	3
46	в духе	4	3
47	во всех	8	3
48	в мире	2	3
49	в ее	6	3
50	в основе	4	3
51	с тем	2	3
52	конечно не	4	3
53	еще не	10	3
54	за пределы	4	3
55	сказать что	3	3
56	к ним	2	3
57	времени в	3	2
58	что все	4	2
59	времени и	4	2
60	у него	7	2
61	вместе с	2	2
62	все они	6	2
63	так и	13	2
64	что она	2	2
65	и т.п	11	2
66	другой стороны	2	2
67	мир и	2	2
68	а в	2	2
69	с одной	4	2
70	все эти	15	2
71	уже не	3	2
72	такой же	5	2
73	роль в	5	2
74	того чтобы	4	2
75	одной стороны	2	2
76	и даже	8	2
77	но не	5	2
78	так же	2	2
79	мы не	2	2
80	том что	8	2
81	связаны с	6	2
82	одна из	4	2
83	и с	8	2
84	и на	7	2
85	в себе	4	2
86	с их	2	2
87	в то	12	2
88	в центре	2	2
89	мира и	2	2
90	не могли	2	2
91	хотя и	2	2
92	но в	6	2
