N	2gram	Vygotskiy__6	Narrotol
1	не только	16	32
2	может быть	13	25
3	но и	10	23
4	в качестве	4	21
5	и не	11	20
6	и в	28	19
7	в том	28	18
8	в этом	27	17
9	в частности	4	14
10	том что	19	14
11	не в	4	14
12	состоит в	2	13
13	а не	3	12
14	представляет собой	3	12
15	то что	28	11
16	а в	2	11
17	не может	19	10
18	точки зрения	13	10
19	при этом	3	9
20	так и	6	9
21	в его	3	9
22	с другой	2	8
23	в себе	4	8
24	и т.д	3	7
25	в случае	3	7
26	как и	6	7
27	еще не	8	7
28	к тому	10	7
29	все же	2	7
30	как в	3	7
31	по отношению	10	7
32	с его	3	6
33	что он	18	6
34	отношению к	10	6
35	то в	5	6
36	но не	10	6
37	именно в	4	6
38	в себя	3	6
39	в той	4	6
40	тем самым	8	6
41	как это	3	6
42	иначе говоря	3	6
43	но в	5	6
44	и как	6	5
45	нуждается в	3	5
46	по себе	3	5
47	можно сказать	6	5
48	и его	3	5
49	в данном	2	5
50	в основе	3	5
51	между двумя	2	5
52	в этой	5	5
53	за собой	3	4
54	переход от	4	4
55	точку зрения	2	4
56	во втором	3	4
57	прежде всего	2	4
58	в нем	7	4
59	у него	2	4
60	то же	7	4
61	в силу	17	4
62	было бы	9	4
63	связи с	3	4
64	имеет место	2	4
65	как бы	11	4
66	и тем	5	4
67	другой стороны	2	4
68	отличается от	3	4
69	те же	3	4
70	сказать что	13	4
71	только в	18	4
72	не менее	2	3
73	же как	6	3
74	что в	17	3
75	могут быть	5	3
76	никогда не	8	3
77	из этих	3	3
78	это и	3	3
79	что они	2	3
80	в сущности	7	3
81	на том	2	3
82	хотя и	3	3
83	он не	7	3
84	мог бы	3	3
85	один из	3	3
86	не с	2	3
87	в первом	4	3
88	из них	2	3
89	когда он	2	3
90	этом отношении	3	3
91	как мы	10	3
92	и на	5	3
93	тем что	8	3
94	по своей	3	3
95	в то	6	3
96	дело с	2	2
97	не являются	2	2
98	он сам	2	2
99	зависит от	3	2
100	этого понятия	3	2
101	независимо от	3	2
102	между собой	9	2
103	в своем	7	2
104	что у	2	2
105	первом случае	3	2
106	оно не	4	2
107	не могло	2	2
108	совершенно очевидно	3	2
109	что именно	2	2
110	идет по	2	2
111	различие между	2	2
112	что на	4	2
113	а по	3	2
114	по существу	2	2
115	есть в	3	2
116	между ними	7	2
117	в значительной	2	2
118	имеем дело	2	2
119	как известно	7	2
120	для него	6	2
121	языка и	5	2
122	в пределах	5	2
123	она не	2	2
124	несмотря на	2	2
125	например в	4	2
126	к другому	4	2
127	данного понятия	4	2
128	и др	2	2
129	структуры в	3	2
130	не имеет	6	2
131	от одной	4	2
132	в любом	2	2
133	во второй	2	2
134	приводит к	6	2
135	отношение к	7	2
136	так же	15	2
137	как раз	6	2
138	не на	2	2
139	в связи	2	2
140	и только	3	2
141	отношения к	3	2
142	все эти	2	2
143	хотя в	2	2
144	ключ к	2	2
145	они не	4	2
146	самом деле	2	2
147	к другой	6	2
148	что мы	11	2
149	одним из	2	2
150	с точки	10	2
151	это не	5	2
152	в иной	2	2
153	можно было	7	2
154	приходит к	2	2
155	но как	3	2
156	этого слова	2	2
157	и все	5	2
158	его в	6	2
159	представляют собой	3	2
160	когда мы	6	2
161	мы имеем	4	2
162	к которому	2	2
