N	2gram	Propp_Isto_7	Freidism
1	таким образом	7	24
2	и не	4	23
3	не может	14	20
4	точки зрения	4	19
5	прежде всего	2	18
6	к отцу	2	16
7	в этом	12	15
8	мы можем	4	13
9	может быть	14	13
10	и его	3	12
11	как и	6	11
12	как бы	4	11
13	то что	7	11
14	все эти	2	11
15	так и	5	10
16	как мы	3	10
17	его в	3	10
18	с ним	5	10
19	но в	5	10
20	с его	3	9
21	и в	24	9
22	во всех	7	9
23	что он	21	8
24	еще не	8	8
25	он не	6	8
26	не только	21	8
27	все это	8	8
28	то же	8	8
29	только в	6	8
30	и все	6	8
31	так как	8	8
32	мы знаем	2	7
33	ни в	2	7
34	тот же	2	7
35	к нему	7	7
36	один из	7	7
37	мы видели	7	7
38	отношение к	5	7
39	в самом	2	7
40	и наконец	3	7
41	сказать что	2	7
42	мы уже	4	7
43	никогда не	4	6
44	вовсе не	4	6
45	и ее	2	6
46	того что	6	6
47	знаем что	3	5
48	связь с	2	5
49	не в	9	5
50	в чем	5	5
51	в то	2	5
52	что такое	2	5
53	что в	13	5
54	но и	11	5
55	а в	10	5
56	и на	2	5
57	с этим	2	5
58	мы должны	4	5
59	не менее	5	4
60	но не	6	4
61	в котором	2	4
62	и др	2	4
63	в этих	13	4
64	из этих	3	4
65	об этом	6	4
66	всех этих	6	4
67	связанные с	2	4
68	при этом	4	4
69	другими словами	2	4
70	конечно не	2	4
71	и о	2	4
72	в основе	2	4
73	в нем	6	4
74	все же	9	4
75	данном случае	3	4
76	уже не	2	4
77	в которой	2	4
78	мы не	4	4
79	в данном	4	4
80	этот вопрос	2	4
81	потому что	9	4
82	во время	6	4
83	не могут	2	3
84	тому что	2	3
85	в них	3	3
86	от всех	2	3
87	и от	2	3
88	на себя	2	3
89	к себе	3	3
90	это как	2	3
91	но это	3	3
92	и оно	2	3
93	она не	2	3
94	было бы	2	3
95	и тот	2	3
96	и она	3	3
97	ее в	3	3
98	когда он	3	3
99	на него	2	3
100	вместе с	7	3
101	где оно	2	3
102	со стороны	2	3
103	как в	12	3
104	и что	10	3
105	на этот	2	3
106	и по	3	3
107	мы имеем	12	3
108	уже знаем	3	3
109	он дает	3	3
110	у него	10	3
111	и этим	3	3
112	одна из	7	3
113	отца и	2	3
114	есть и	4	2
115	уже в	3	2
116	этого не	2	2
117	но все	4	2
118	и становится	3	2
119	и другие	9	2
120	что это	6	2
121	чаще всего	3	2
122	того же	2	2
123	с другой	9	2
124	это не	10	2
125	же что	2	2
126	в конце	3	2
127	к этому	2	2
128	в одну	2	2
129	не можем	2	2
130	только о	2	2
131	ничем не	2	2
132	тем не	4	2
133	для нас	6	2
134	в ее	2	2
135	в основном	2	2
136	том что	10	2
137	из всего	2	2
138	тому кто	2	2
139	а не	8	2
140	связано с	3	2
141	одной стороны	5	2
142	из них	2	2
143	не совсем	2	2
144	которой он	3	2
145	во сне	2	2
146	что мы	3	2
147	но для	2	2
148	себе и	3	2
149	для нее	2	2
150	ответ на	6	2
151	дело не	5	2
152	сих пор	3	2
153	что она	5	2
154	в их	4	2
155	только на	2	2
156	в мифах	3	2
157	отличается от	2	2
158	всех других	2	2
159	с одной	5	2
160	должны быть	3	2
161	и у	2	2
162	и даже	3	2
163	так же	6	2
164	мы видим	10	2
165	в таких	2	2
166	очень много	2	2
167	они не	2	2
168	что и	8	2
169	при помощи	3	2
170	до сих	2	2
171	нами выше	2	2
172	этом мы	2	2
173	как это	2	2
