N	2gram	Tiupa_Hudo_1	Dialekti
1	и не	15	30
2	а не	9	18
3	может быть	14	17
4	то что	4	16
5	и в	19	15
6	как бы	9	14
7	точки зрения	10	14
8	того что	4	13
9	по себе	2	13
10	это не	2	12
11	прежде всего	4	11
12	в том	18	11
13	не может	7	11
14	говорить о	3	11
15	в этом	11	11
16	с ее	5	10
17	в основе	4	10
18	личности и	3	10
19	потому что	3	10
20	том что	8	10
21	в виду	5	9
22	все это	2	9
23	и что	3	9
24	то же	10	9
25	уже не	4	9
26	с точки	3	9
27	ни в	5	8
28	не в	7	8
29	в себе	9	8
30	и о	3	8
31	не только	16	8
32	в чем	2	8
33	и ее	3	8
34	и это	2	8
35	что в	6	7
36	что он	3	7
37	как и	2	7
38	и его	12	7
39	или в	2	7
40	только в	5	7
41	же время	5	6
42	хотя и	3	6
43	и тем	2	6
44	а именно	2	6
45	сказать что	4	6
46	вовсе не	2	6
47	если бы	3	6
48	в то	6	6
49	что и	2	6
50	я не	2	5
51	сама по	2	5
52	так и	11	5
53	в своем	2	5
54	можно сказать	5	5
55	того чтобы	2	5
56	в нем	5	5
57	что она	2	5
58	таким образом	3	5
59	именно в	2	5
60	и на	2	5
61	о том	2	5
62	мы имеем	6	5
63	с его	6	5
64	личности в	4	5
65	в жизни	2	5
66	субъекта и	3	5
67	то в	2	5
68	в себя	2	5
69	если мы	2	5
70	для того	2	5
71	и для	2	5
72	в каком	2	5
73	и как	3	4
74	в этой	2	4
75	есть в	2	4
76	один из	2	4
77	но и	10	4
78	тех или	2	4
79	так же	2	4
80	той или	4	4
81	в одном	2	4
82	отнюдь не	2	4
83	не как	2	4
84	этом смысле	3	4
85	с их	2	4
86	еще не	3	4
87	как раз	3	4
88	в его	9	4
89	личности как	2	3
90	тем самым	4	3
91	в свою	3	3
92	себя и	2	3
93	к жизни	2	3
94	в их	5	3
95	отношения к	2	3
96	все эти	2	3
97	с ним	2	3
98	но в	7	3
99	об этом	2	3
100	личности с	2	3
101	только о	2	3
102	за пределы	2	3
103	в своей	5	3
104	и потому	2	3
105	со стороны	2	3
106	быть и	2	3
107	как в	2	3
108	и притом	3	3
109	в данном	4	3
110	и то	4	3
111	могут быть	4	3
112	в области	6	3
113	не менее	3	2
114	в противоположность	3	2
115	в частности	13	2
116	в отношении	3	2
117	из этих	3	2
118	заключается в	2	2
119	свою очередь	2	2
120	при этом	13	2
121	случае не	2	2
122	мог бы	3	2
123	в самом	5	2
124	от себя	3	2
125	совпадает с	2	2
126	никогда не	2	2
127	другой стороны	5	2
128	лишь в	4	2
129	в данный	2	2
130	и по	2	2
131	но как	2	2
132	того или	3	2
133	как это	5	2
134	тот кто	2	2
135	однако в	4	2
136	в них	2	2
137	я думаю	2	2
138	в коем	2	2
139	при условии	2	2
140	в ее	5	2
141	не будет	2	2
142	в качестве	24	2
143	в аспекте	2	2
144	одной из	2	2
145	никто не	2	2
146	жизнь личности	2	2
147	видим в	2	2
148	коем случае	2	2
149	тем не	3	2
150	себя в	7	2
151	данный момент	2	2
152	во всех	3	2
153	ее в	2	2
154	во всей	3	2
155	собственно говоря	2	2
156	или иначе	4	2
157	всей его	2	2
158	отношении к	2	2
159	в которой	2	2
160	отличие от	7	2
161	для меня	2	2
