N	2gram	Tiupa_Lite_2	Poddanst
1	не только	8	17
2	и в	19	14
3	и не	11	12
4	в области	4	11
5	в этом	9	10
6	то же	12	9
7	в том	10	9
8	в качестве	5	9
9	но в	2	9
10	хотя бы	2	8
11	же время	9	7
12	в то	9	7
13	быть может	3	6
14	но и	10	6
15	в ней	4	6
16	было бы	2	6
17	с другой	8	5
18	не в	4	5
19	может быть	17	5
20	же в	2	4
21	то что	7	4
22	что в	4	4
23	не может	9	4
24	и к	2	4
25	а в	3	4
26	том что	7	4
27	в русской	4	4
28	тех кто	4	4
29	а также	2	4
30	как бы	2	4
31	в нем	3	3
32	и т	2	3
33	с тем	2	3
34	в сравнении	2	3
35	в россии	2	3
36	и без	2	3
37	столь же	5	3
38	с одной	7	3
39	прежде всего	4	3
40	тем самым	3	3
41	для того	2	3
42	с точки	3	3
43	мы не	4	3
44	сравнении с	2	3
45	и как	3	3
46	но не	5	3
47	могут быть	2	3
48	точки зрения	4	3
49	в себе	6	3
50	тот же	2	3
51	одной стороны	6	3
52	потому что	2	3
53	я и	4	3
54	в сфере	4	2
55	не менее	6	2
56	том числе	2	2
57	в мире	9	2
58	не к	2	2
59	во всех	3	2
60	хх века	8	2
61	в частности	4	2
62	отнюдь не	4	2
63	в е	2	2
64	со стороны	3	2
65	в них	2	2
66	как раз	2	2
67	не столько	3	2
68	в жизни	2	2
69	пути в	8	2
70	и других	4	2
71	а не	20	2
72	того что	5	2
73	для нас	2	2
74	в ее	2	2
75	как на	3	2
76	если в	2	2
77	в русском	2	2
78	одна из	5	2
79	не было	2	2
80	в начале	3	2
81	из них	2	2
82	где в	2	2
83	в его	4	2
84	и с	3	2
