N	2gram	Losev_Prob_1	Analitik
1	не только	17	22
2	и в	32	18
3	как и	3	14
4	так и	12	14
5	в этом	19	14
6	но и	9	13
7	и его	3	13
8	том что	12	12
9	в качестве	2	12
10	и не	31	12
11	при этом	6	11
12	а в	4	10
13	как бы	14	10
14	то есть	33	10
15	может быть	14	9
16	что в	12	9
17	а не	15	9
18	в том	9	9
19	с его	2	8
20	и даже	11	8
21	с другой	3	7
22	но не	9	7
23	в его	6	7
24	как раз	13	7
25	к тому	3	6
26	не в	4	6
27	для него	2	6
28	еще не	9	6
29	в этой	10	6
30	он не	3	6
31	в их	4	6
32	о том	11	6
33	никогда не	7	5
34	однако в	2	5
35	не является	5	5
36	в случае	3	5
37	в конце	6	5
38	прежде всего	10	5
39	или иной	5	5
40	того же	3	5
41	такого рода	7	5
42	в самом	6	5
43	другой стороны	3	5
44	в сущности	2	5
45	уже не	3	5
46	в результате	2	5
47	между тем	2	5
48	мы имеем	2	5
49	не менее	19	4
50	перед нами	5	4
51	о чем	6	4
52	отнюдь не	10	4
53	в своем	5	4
54	по крайней	2	4
55	по себе	15	4
56	что он	7	4
57	можно сказать	5	4
58	и как	6	4
59	не есть	29	4
60	крайней мере	2	4
61	таким образом	6	4
62	тем самым	4	4
63	и на	8	4
64	в данном	9	4
65	далеко не	5	4
66	уже в	3	3
67	однако и	3	3
68	из этих	2	3
69	у пушкина	2	3
70	говорит и	3	3
71	его как	2	3
72	в ее	3	3
73	и того	2	3
74	что они	3	3
75	было бы	8	3
76	указывает на	14	3
77	только не	3	3
78	по поводу	4	3
79	той или	5	3
80	известной степени	2	3
81	не будет	2	3
82	данном случае	8	3
83	как в	4	3
84	все это	7	3
85	то же	10	3
86	не было	4	3
87	еще и	5	3
88	именно в	4	3
89	что не	3	3
90	по его	2	3
91	поскольку он	2	3
92	мы не	2	3
93	ничего не	10	3
94	пока еще	3	3
95	с этим	3	3
96	точки зрения	3	3
97	подобно тому	2	3
98	он и	8	3
99	одного и	2	3
100	но как	6	3
101	говорить о	6	3
102	в то	6	3
103	его в	6	3
104	здесь не	7	3
105	едва ли	2	3
106	как это	6	3
107	я и	2	3
108	сама по	4	2
109	могут быть	2	2
110	все эти	8	2
111	в них	7	2
112	это не	6	2
113	не как	2	2
114	в жизни	3	2
115	в нем	13	2
116	есть не	6	2
117	и ее	8	2
118	о его	2	2
119	несмотря на	3	2
120	о которых	3	2
121	тем не	18	2
122	же в	4	2
123	да и	3	2
124	говорит о	3	2
125	в дальнейшем	4	2
126	то в	5	2
127	с тем	5	2
128	по своему	9	2
129	пушкина что	2	2
130	со всеми	2	2
131	о своем	2	2
132	совершенно не	6	2
133	например в	2	2
134	на его	2	2
135	по преимуществу	2	2
136	хотя и	6	2
137	об этом	10	2
138	и потому	2	2
139	а также	4	2
140	всяком случае	3	2
141	гораздо более	2	2
142	один из	4	2
143	которого он	2	2
144	то что	42	2
145	в первом	2	2
146	или из	3	2
147	во всех	7	2
148	вместе с	2	2
149	что она	5	2
150	не может	8	2
151	входит в	4	2
152	не для	2	2
153	тогда не	2	2
154	тем или	3	2
155	самом деле	6	2
156	с точки	3	2
157	и для	4	2
158	тому как	2	2
159	сказать что	13	2
160	во всяком	7	2
161	мы можем	4	2
162	тем что	7	2
163	на себя	2	2
164	в себе	15	2
165	и здесь	6	2
166	в искусстве	3	2
167	что мы	13	2
168	только в	7	2
169	вопроса о	2	2
170	указание на	4	2
171	и все	7	2
172	дело в	3	2
173	хотя в	3	2
174	когда мы	8	2
175	но в	14	2
