N	2gram	Tiupa_Anal_2	PoTuStor
1	может быть	6	17
2	и в	16	16
3	прежде всего	3	9
4	таким образом	2	9
5	в этом	18	9
6	и его	4	8
7	точки зрения	4	8
8	не может	4	8
9	сказать что	2	7
10	не только	16	7
11	и к	5	6
12	с точки	2	6
13	для него	4	6
14	при этом	10	6
15	я и	3	6
16	еще не	2	5
17	как бы	10	5
18	и их	2	4
19	отнюдь не	8	4
20	но и	12	4
21	так и	15	4
22	все это	4	4
23	и все	3	4
24	и не	12	4
25	как мы	3	4
26	можно сказать	4	4
27	и даже	9	4
28	с ними	3	4
29	и на	6	4
30	в этой	9	4
31	с ее	2	4
32	все что	2	4
33	только в	4	4
34	в один	4	4
35	его в	2	4
36	для всех	2	4
37	но в	6	4
38	в его	2	4
39	на две	3	3
40	на этой	2	3
41	в этих	2	3
42	что в	2	3
43	во всех	4	3
44	могут быть	10	3
45	вместе с	2	3
46	отношения к	2	3
47	в одном	2	3
48	этом смысле	2	3
49	те же	2	3
50	крайней мере	3	3
51	в том	12	3
52	а в	3	3
53	том что	12	3
54	с их	2	3
55	то что	7	3
56	на этом	4	3
57	по крайней	3	3
58	только на	3	3
59	в общем	2	3
60	едва ли	3	3
61	как это	6	3
62	в конечном	3	3
63	не менее	4	2
64	один из	2	2
65	что и	3	2
66	не есть	2	2
67	конечном счете	2	2
68	в частности	16	2
69	никогда не	3	2
70	того же	4	2
71	вообще не	2	2
72	то же	4	2
73	к этому	2	2
74	не знает	3	2
75	сводится к	3	2
76	и т.п	8	2
77	что на	3	2
78	у него	4	2
79	и для	2	2
80	как и	14	2
81	на основе	2	2
82	так же	2	2
83	есть в	3	2
84	он не	2	2
85	при всей	3	2
86	нашего времени	4	2
87	говорить о	6	2
88	на протяжении	2	2
89	в пределах	9	2
90	было бы	3	2
91	о том	7	2
92	в самом	6	2
93	за пределы	4	2
94	в своей	2	2
95	с ним	2	2
