N	2gram	Savitsky_E_1	Mirosoze
1	и в	37	46
2	может быть	6	21
3	в этом	12	20
4	никогда не	3	18
5	и не	14	18
6	не только	18	18
7	но и	14	15
8	не может	9	15
9	как и	7	13
10	не есть	2	13
11	а не	2	13
12	прежде всего	9	12
13	потому что	3	12
14	в ней	4	11
15	но в	14	10
16	он не	2	10
17	в себе	9	10
18	не в	5	9
19	как бы	6	8
20	в своем	14	8
21	так как	7	8
22	она не	2	8
23	в мире	2	7
24	в этой	2	7
25	и к	3	7
26	и потому	5	7
27	как в	3	7
28	хотя бы	15	7
29	и для	3	7
30	он сам	2	6
31	вопрос о	4	6
32	что это	2	6
33	так же	9	6
34	того что	7	6
35	во власти	2	6
36	жизни и	2	6
37	то же	15	5
38	бы и	3	5
39	в отношении	32	5
40	что все	2	5
41	в самом	4	5
42	и все	2	5
43	есть не	2	5
44	к тому	8	5
45	по преимуществу	2	5
46	то что	6	5
47	в своей	8	5
48	для того	6	5
49	в его	2	5
50	что в	21	4
51	не имеет	4	4
52	также и	7	4
53	думать что	8	4
54	в свою	3	4
55	том что	6	4
56	что и	3	4
57	так и	10	4
58	т е	9	4
59	того чтобы	6	4
60	его на	2	4
61	же как	5	3
62	можно ли	3	3
63	и от	3	3
64	одна и	2	3
65	и можно	2	3
66	в том	11	3
67	жизни в	3	3
68	в своих	2	3
69	и на	6	3
70	сказать что	4	3
71	и с	2	3
72	по своей	2	3
73	о том	3	3
74	в россии	5	3
75	если бы	2	3
76	в них	3	3
77	и во	2	3
78	западной европы	9	3
79	связано с	3	3
80	не будет	3	3
81	тем что	3	3
82	только в	9	3
83	отношении к	15	3
84	есть в	2	3
85	место в	3	2
86	но на	3	2
87	в этих	2	2
88	или иной	4	2
89	и если	2	2
90	хотя и	2	2
91	в сфере	3	2
92	к нему	2	2
93	не к	2	2
94	этот процесс	2	2
95	и других	2	2
96	а в	2	2
97	точки зрения	23	2
98	бы в	2	2
99	между тем	8	2
100	и та	2	2
101	не означает	2	2
102	себе в	3	2
103	тогда когда	2	2
104	по себе	4	2
105	есть ли	2	2
106	мы видим	2	2
107	то в	4	2
108	чем в	4	2
109	и что	2	2
110	во всех	6	2
111	к ней	4	2
112	вместе с	2	2
113	ее в	3	2
114	что же	2	2
115	всего человечества	2	2
116	россии и	3	2
117	еще более	2	2
118	но с	2	2
119	более чем	2	2
120	и эта	2	2
121	можно было	3	2
122	его собственная	2	2
123	от этого	5	2
124	как будто	2	2
125	и поэтому	2	2
