N	2gram	Bakhtin_Fr_7	TeoriaLi
1	в мире	3	24
2	не только	5	18
3	в качестве	9	17
4	и не	7	16
5	а в	5	14
6	и в	41	13
7	может быть	4	12
8	так и	10	12
9	то есть	20	12
10	при этом	3	11
11	в этом	15	11
12	в том	11	11
13	а не	2	10
14	и его	9	10
15	в его	12	9
16	то же	13	9
17	что в	9	8
18	своего рода	2	8
19	отношению к	2	8
20	но и	9	8
21	по отношению	2	8
22	в себе	11	7
23	том что	4	7
24	во второй	2	7
25	в данном	2	7
26	точки зрения	5	7
27	в то	10	7
28	только в	6	7
29	место в	4	6
30	с его	2	6
31	же время	9	6
32	еще не	2	6
33	картина мира	2	6
34	в первой	2	6
35	как бы	7	6
36	но в	8	6
37	в своем	9	5
38	а также	2	5
39	как и	14	5
40	не в	9	5
41	в нем	7	5
42	как в	5	5
43	он не	4	5
44	уже не	2	5
45	тем самым	3	5
46	мы имеем	2	5
47	в свою	3	4
48	ни в	6	4
49	более или	2	4
50	в своей	3	4
51	то что	8	4
52	отношение к	2	4
53	в форме	3	4
54	или менее	2	4
55	в их	3	4
56	и т.п	9	4
57	не может	3	4
58	хотя и	4	4
59	но он	4	4
60	и ее	2	4
61	не знает	3	4
62	мира и	4	4
63	перед нами	2	3
64	и др	2	3
65	никогда не	2	3
66	в этих	2	3
67	в отношении	3	3
68	прежде всего	11	3
69	и к	5	3
70	а только	2	3
71	свою очередь	3	3
72	по своему	2	3
73	для него	6	3
74	того что	2	3
75	например в	3	3
76	и потому	3	3
77	с ее	3	3
78	картины мира	4	3
79	во времени	2	3
80	таким образом	19	3
81	именно в	2	3
82	мира в	4	3
83	и вот	2	3
84	и по	3	3
85	или в	2	3
86	и то	2	3
87	потому что	5	3
88	нового времени	3	3
89	в этой	13	3
90	и т.д	2	3
91	его в	3	3
92	все эти	13	3
93	в эпизоде	5	3
94	я не	3	2
95	в конце	8	2
96	того же	3	2
97	это не	6	2
98	вовсе не	7	2
99	в литературе	2	2
100	что он	3	2
101	к тому	2	2
102	и как	2	2
103	а на	2	2
104	в большинстве	2	2
105	одно и	2	2
106	рассказ о	2	2
107	одной из	2	2
108	мы в	2	2
109	из которых	2	2
110	в виду	4	2
111	к жизни	4	2
112	к нему	5	2
113	во всех	3	2
114	вместе с	5	2
115	дело не	2	2
116	образом и	2	2
117	не на	3	2
118	в романе	7	2
119	и для	5	2
120	в себя	2	2
121	в году	5	2
122	в той	3	2
123	говорит что	2	2
124	с точки	3	2
125	во всей	2	2
126	так же	5	2
127	роль в	2	2
128	и мира	2	2
129	их в	2	2
130	у него	6	2
131	и здесь	4	2
132	о том	6	2
133	и это	5	2
134	в чем	2	2
135	в которой	2	2
136	в области	2	2
137	это было	2	2
