N	2gram	Vinokur_Ku_1	VLabPisa
1	таким образом	12	27
2	в этом	14	26
3	и в	24	25
4	и т	33	24
5	не только	10	22
6	может быть	13	21
7	хотя бы	10	20
8	и не	12	19
9	т е	38	17
10	не может	7	17
11	в его	12	15
12	т д	14	15
13	прежде всего	9	13
14	в том	30	13
15	этом отношении	5	13
16	в частности	4	12
17	все это	6	12
18	как это	3	12
19	с другой	7	11
20	в силу	10	11
21	из них	4	11
22	не могут	2	10
23	в качестве	7	10
24	о том	9	10
25	что в	17	9
26	но и	6	9
27	то же	8	9
28	т п	18	9
29	все эти	6	8
30	в своем	3	8
31	другой стороны	6	8
32	из этих	4	7
33	же в	4	7
34	как и	2	7
35	том что	21	7
36	было бы	15	7
37	отношению к	9	7
38	вместе с	7	7
39	по отношению	8	7
40	не было	3	7
41	а не	8	7
42	это не	7	6
43	в себе	3	6
44	это и	4	6
45	то что	9	6
46	более или	3	6
47	том же	2	6
48	в нем	4	6
49	в зависимости	5	6
50	так и	7	6
51	или менее	3	6
52	бы и	2	6
53	и его	5	6
54	между тем	5	6
55	в то	2	6
56	в результате	5	5
57	тому что	3	5
58	же время	2	5
59	все же	12	5
60	и при	2	5
61	зависимости от	6	5
62	очевидно что	3	5
63	в пределах	4	5
64	связи с	7	5
65	и есть	2	5
66	одним из	2	5
67	как бы	7	5
68	один из	4	5
69	в их	3	5
70	только в	11	5
71	не в	11	5
72	не является	2	5
73	к тому	5	4
74	никогда не	2	4
75	в одном	3	4
76	в целом	4	4
77	что все	2	4
78	что он	6	4
79	с его	4	4
80	можно сказать	3	4
81	в своей	2	4
82	в самом	10	4
83	даже в	3	4
84	должен быть	4	4
85	когда он	3	4
86	как раз	8	4
87	в них	7	4
88	в связи	3	4
89	с ними	4	4
90	в этой	3	4
91	это только	3	4
92	с тем	5	3
93	и как	2	3
94	даже и	3	3
95	у нас	10	3
96	по существу	4	3
97	что они	4	3
98	как о	2	3
99	или в	2	3
100	с этим	4	3
101	что не	5	3
102	например в	5	3
103	и он	3	3
104	в виду	5	3
105	в котором	3	3
106	что и	4	3
107	ее в	2	3
108	именно в	6	3
109	сводится к	3	3
110	того что	9	3
111	так же	4	3
112	в слове	2	3
113	в которых	6	3
114	никак не	2	3
115	как на	3	3
116	точки зрения	14	3
117	бы в	7	3
118	том как	3	3
119	не менее	7	2
120	в каждом	2	2
121	можно ли	2	2
122	по крайней	5	2
123	не всегда	2	2
124	вовсе не	10	2
125	роль в	4	2
126	по себе	2	2
127	было в	2	2
128	или иной	3	2
129	крайней мере	5	2
130	что его	2	2
131	ли не	3	2
132	ли это	2	2
133	до сих	4	2
134	и потому	4	2
135	но не	5	2
136	чуть ли	2	2
137	так например	2	2
138	в системе	3	2
139	еще не	5	2
140	и может	3	2
141	для того	16	2
142	в общем	3	2
143	то это	3	2
144	если бы	9	2
145	мы имеем	6	2
146	ознакомиться с	2	2
147	том чтобы	8	2
148	на язык	4	2
149	понимать как	2	2
150	в науке	4	2
151	в ней	6	2
152	что она	3	2
153	относится к	2	2
154	и даже	3	2
155	всяком случае	5	2
156	если в	2	2
157	ни одного	2	2
158	так называемые	3	2
159	мы наблюдаем	2	2
160	сих пор	4	2
161	между прочим	2	2
162	а в	5	2
163	в особенности	3	2
164	как об	2	2
165	свидетельствуют о	2	2
166	еще и	5	2
167	что оно	3	2
168	но с	2	2
169	этой точки	2	2
170	заключается в	2	2
171	того чтобы	17	2
172	должны быть	2	2
173	что такое	6	2
174	между ними	2	2
175	и для	2	2
176	можно было	6	2
177	между собою	2	2
178	не столько	2	2
179	также и	2	2
180	во всяком	5	2
181	хотя и	3	2
182	лишь в	2	2
183	он не	2	2
184	они не	3	2
185	этого рода	6	2
186	как например	2	2
187	того или	4	2
188	в которой	6	2
189	в области	7	2
190	льва толстого	2	2
191	труда и	2	2
192	например не	2	2
193	тогда когда	6	2
194	о чем	2	2
195	но в	2	2
