N	3gram	Vygotskiy__5	Myslijsy
1	в том что	14	13
2	не может быть	2	9
3	с другой стороны	5	5
4	по его мнению	2	4
5	и т д	3	4
6	само по себе	2	4
7	потому что в	2	4
8	мы увидим что	6	3
9	с точки зрения	2	3
10	с одной стороны	12	3
11	с самого начала	3	3
12	не только в	2	3
13	и как бы	4	3
14	с тем что	3	3
15	и той же	2	3
16	и что в	3	3
17	одной и той	2	3
18	и того же	2	2
19	к тому что	6	2
20	в том и	2	2
21	друг от друга	2	2
22	одного и того	2	2
23	и т п	3	2
24	что иное как	2	2
25	заключает в себе	4	2
26	на этот вопрос	3	2
27	таким образом что	3	2
28	не что иное	2	2
29	не только не	4	2
30	все то что	2	2
31	для того чтобы	19	2
