N	2gram	Nazirov_Tv_2	Russkaja
1	не может	7	22
2	и не	9	19
3	в том	8	17
4	в этом	8	17
5	и в	20	14
6	то что	3	13
7	таким образом	10	11
8	то же	7	11
9	же время	7	10
10	но и	8	10
11	в то	10	10
12	том что	4	9
13	не только	13	9
14	в себе	3	9
15	может быть	8	9
16	во всяком	2	9
17	прежде всего	8	8
18	ни к	2	7
19	отнюдь не	4	7
20	и если	2	7
21	самом деле	2	7
22	о том	5	7
23	и с	8	7
24	если бы	4	6
25	что он	6	6
26	для него	3	6
27	всяком случае	2	6
28	все это	6	6
29	в своих	3	6
30	в россии	2	6
31	жизни в	3	5
32	и на	5	5
33	при этом	8	5
34	до сих	3	5
35	в своей	6	5
36	он не	3	5
37	никогда не	11	5
38	в нем	3	5
39	сих пор	3	5
40	и только	2	5
41	а в	4	5
42	потому что	7	5
43	только в	2	5
44	между тем	3	5
45	но не	5	4
46	что в	7	4
47	в мире	5	4
48	как и	6	4
49	как бы	11	4
50	все же	5	4
51	себя в	2	4
52	вместе с	3	4
53	в их	3	4
54	приводит к	2	4
55	точку зрения	2	4
56	не в	4	4
57	отказаться от	2	4
58	в этой	5	4
59	в его	10	4
60	которой он	2	4
61	его в	3	4
62	так как	3	4
63	он сам	3	3
64	именно в	6	3
65	в конце	6	3
66	что они	4	3
67	еще не	5	3
68	в самом	3	3
69	одной из	3	3
70	но если	2	3
71	и потому	4	3
72	и т	13	3
73	из них	2	3
74	не было	2	3
75	сводится к	2	3
76	во что	2	3
77	и по	2	3
78	друг друга	2	3
79	тем что	3	3
80	в виде	2	3
81	говорить о	2	3
82	из этого	2	3
83	одна из	3	3
84	место в	3	2
85	только для	2	2
86	а с	3	2
87	зависит от	2	2
88	и есть	2	2
89	в частности	2	2
90	у него	6	2
91	от этой	2	2
92	его и	2	2
93	и от	4	2
94	этот вопрос	3	2
95	уже не	3	2
96	так что	2	2
97	но это	5	2
98	в котором	3	2
99	себя на	2	2
100	и тогда	2	2
101	по отношению	3	2
102	тогда как	3	2
103	если не	4	2
104	все эти	4	2
105	и что	2	2
106	тем самым	4	2
107	а не	6	2
108	и наконец	2	2
109	и даже	5	2
110	не так	2	2
111	так же	5	2
112	во многих	2	2
113	в таком	3	2
114	том же	2	2
115	их в	2	2
116	в начале	3	2
117	только с	2	2
118	с ним	3	2
119	но в	4	2
120	любви к	3	2
