N	2gram	Propp_Isto_7	Stilisti
1	и в	24	42
2	как бы	4	27
3	не только	21	27
4	прежде всего	2	22
5	но и	11	15
6	то же	8	15
7	и не	4	14
8	может быть	14	12
9	не может	14	12
10	точки зрения	4	11
11	как и	6	11
12	мы уже	4	11
13	что мы	3	10
14	мы должны	4	10
15	как мы	3	10
16	в этом	12	10
17	при этом	4	9
18	в то	2	9
19	то что	7	9
20	мы не	4	9
21	все же	9	8
22	таким образом	7	8
23	и это	2	8
24	никогда не	4	7
25	и от	2	7
26	и тем	2	7
27	и на	2	7
28	потому что	9	7
29	так как	8	7
30	с его	3	7
31	было бы	2	7
32	а не	8	7
33	и его	3	7
34	мы можем	4	7
35	только в	6	7
36	в которой	2	7
37	ничего не	5	7
38	другими словами	2	6
39	не в	9	6
40	на его	2	6
41	в форме	2	6
42	в конце	3	6
43	и так	2	6
44	в нем	6	6
45	во всех	7	6
46	так и	5	6
47	уже в	3	5
48	тому что	2	5
49	мы видели	7	5
50	а в	10	5
51	и наконец	3	5
52	как это	2	5
53	вместе с	7	5
54	что это	6	4
55	не просто	2	4
56	но все	4	4
57	связаны с	2	4
58	в качестве	3	4
59	в самом	2	4
60	один из	7	4
61	все это	8	4
62	того что	6	4
63	так же	6	4
64	о том	9	4
65	его в	3	4
66	но в	5	4
67	мы видим	10	4
68	мы увидим	6	4
69	на него	2	4
70	уже не	2	4
71	как только	2	3
72	что у	4	3
73	перед нами	2	3
74	это не	10	3
75	для нас	6	3
76	здесь мы	5	3
77	и эта	2	3
78	но для	2	3
79	хотя и	3	3
80	в котором	2	3
81	из них	2	3
82	чаще всего	3	3
83	и даже	3	3
84	не так	2	3
85	сказать что	2	3
86	и здесь	12	3
87	но вот	2	3
88	та же	2	3
89	и все	6	3
90	но при	2	3
91	если он	3	3
92	этом мы	2	3
93	об этом	6	3
94	в ее	2	3
95	том что	10	3
96	в тех	5	3
97	еще не	8	3
98	конечно не	2	3
99	должно было	2	3
100	что и	8	3
101	не будет	2	3
102	только на	2	3
103	если не	4	3
104	что такое	2	3
105	связи с	3	3
106	ответ на	6	3
107	или даже	2	2
108	не всегда	4	2
109	вопрос о	3	2
110	в том	7	2
111	нас не	2	2
112	но это	3	2
113	из всего	2	2
114	и нет	2	2
115	себе и	3	2
116	в этих	13	2
117	отношение к	5	2
118	в связи	2	2
119	случаях когда	4	2
120	все эти	2	2
121	но эта	2	2
122	его не	2	2
123	что эти	2	2
124	мы имеем	12	2
125	в основе	2	2
126	с этим	2	2
127	к этому	2	2
128	связанные с	2	2
129	с собой	7	2
130	что он	21	2
131	на первый	4	2
132	видим что	3	2
133	ли он	4	2
134	представляет собой	4	2
135	но не	6	2
136	связано с	3	2
137	тех случаях	4	2
138	тот же	2	2
139	одной из	4	2
140	и когда	2	2
141	при которых	2	2
142	с ней	3	2
143	сих пор	3	2
144	связь с	2	2
145	как в	12	2
146	здесь не	2	2
147	должны были	3	2
148	первый взгляд	4	2
149	и он	3	2
150	к нему	7	2
151	в дальнейшем	3	2
152	с ним	5	2
153	или в	8	2
154	этот вопрос	2	2
155	тем что	6	2
156	в приведенных	2	2
