N	2gram	Berdyaev_N_1	Myslijsy
1	потому что	4	52
2	и в	16	39
3	может быть	7	27
4	в том	8	26
5	что в	9	22
6	не может	16	22
7	а не	17	21
8	не только	5	21
9	в нем	5	20
10	но и	3	20
11	и не	11	18
12	том что	2	16
13	не в	6	15
14	в этом	7	15
15	так и	2	13
16	в себе	2	13
17	мы не	2	10
18	не есть	3	10
19	то что	4	10
20	как в	3	10
21	и что	2	10
22	могут быть	2	9
23	как и	7	9
24	мысли в	2	9
25	мысли и	2	9
26	но в	2	9
27	но не	2	8
28	вместе с	2	8
29	с другой	3	7
30	должно быть	4	7
31	в ней	5	7
32	в истории	3	7
33	с этим	2	7
34	это не	4	7
35	духа и	3	7
36	не менее	4	6
37	еще не	3	6
38	в природе	2	6
39	зависит от	2	5
40	с тем	3	5
41	но это	6	5
42	и потому	4	5
43	другой стороны	2	5
44	во всех	3	5
45	не имеют	2	5
46	так же	2	5
47	а в	2	5
48	и для	4	5
49	не имеет	4	5
50	никогда не	6	4
51	к духу	2	4
52	вопрос о	3	4
53	этом смысле	2	4
54	прежде всего	4	4
55	в смысле	2	4
56	к тому	3	4
57	не было	4	4
58	и даже	2	4
59	тому как	3	4
60	в то	2	4
61	в них	4	3
62	и от	2	3
63	и это	2	3
64	в жизни	5	3
65	что все	2	3
66	думать что	2	3
67	она не	3	3
68	одной стороны	2	3
69	в своей	3	3
70	помнить что	2	3
71	в мире	3	3
72	с одной	2	3
73	свободы и	2	3
74	должна быть	3	3
75	сказать что	3	3
76	хотя и	2	3
77	он не	8	3
78	подобно тому	3	3
79	и все	4	3
80	и с	2	3
81	не существует	3	2
82	и есть	10	2
83	самый процесс	2	2
84	все они	2	2
85	эти формы	3	2
86	стремление к	2	2
87	том и	2	2
88	жизни и	8	2
89	уже не	2	2
90	не будет	7	2
91	того чтобы	2	2
92	за пределы	3	2
93	ни одна	2	2
94	с ее	5	2
95	для этого	2	2
96	не могла	2	2
97	времени и	2	2
98	перейти к	3	2
99	хотя бы	2	2
100	и должно	2	2
101	к ним	3	2
102	к новому	7	2
103	духовной жизни	2	2
104	как будто	2	2
105	познания и	2	2
106	о том	4	2
107	есть в	2	2
108	когда мы	2	2
109	из глубины	2	2
110	не могли	2	2
