N	2gram	Tiupa_Anal_3	KulturaY
1	в том	9	30
2	и в	18	24
3	том что	12	21
4	что в	9	17
5	было бы	3	15
6	в этом	14	14
7	точки зрения	3	14
8	может быть	9	13
9	все же	4	12
10	таким образом	4	12
11	в его	7	12
12	и не	12	12
13	не в	6	11
14	только в	2	11
15	в самом	5	10
16	не только	22	10
17	то что	2	9
18	прежде всего	5	9
19	отношению к	7	9
20	самом деле	2	9
21	с точки	2	9
22	о том	6	9
23	по отношению	7	8
24	то же	3	8
25	уже не	5	8
26	а не	9	8
27	как раз	7	8
28	тем что	2	8
29	не менее	4	7
30	в них	2	7
31	с другой	7	7
32	в качестве	12	7
33	как бы	10	7
34	вместе с	2	7
35	не может	2	7
36	это не	2	7
37	так и	14	7
38	именно в	3	6
39	что он	4	6
40	при этом	11	6
41	в ней	2	6
42	но и	13	6
43	все это	3	6
44	другой стороны	5	6
45	все эти	2	6
46	мы имеем	5	6
47	мере в	2	6
48	не случайно	8	6
49	еще и	3	5
50	с тем	2	5
51	по крайней	4	5
52	к тому	6	5
53	крайней мере	4	5
54	но не	7	5
55	еще не	6	5
56	что не	3	5
57	например в	2	5
58	всяком случае	2	5
59	этом отношении	3	5
60	в той	2	5
61	а в	10	5
62	и его	13	5
63	в результате	5	5
64	во всяком	2	5
65	между тем	5	5
66	так сказать	2	5
67	в рамках	3	4
68	с его	8	4
69	в частности	12	4
70	и потому	2	4
71	в нем	2	4
72	в тех	2	4
73	же в	2	4
74	что они	3	4
75	того же	5	4
76	в пределах	4	4
77	это и	2	4
78	один из	2	4
79	что и	5	4
80	не есть	4	4
81	тем не	2	4
82	в целом	3	4
83	со стороны	9	4
84	как в	3	4
85	внимание на	4	4
86	с этим	3	4
87	тем самым	4	4
88	роль в	3	4
89	и на	4	4
90	в данном	4	4
91	из этих	3	4
92	там где	2	4
93	уже в	3	3
94	состоит в	4	3
95	на себя	2	3
96	или иной	5	3
97	можно сказать	4	3
98	сводится к	2	3
99	в первом	2	3
100	ли не	4	3
101	в соответствии	2	3
102	в этой	6	3
103	в противовес	2	3
104	свою очередь	4	3
105	очевидно что	2	3
106	в свою	5	3
107	обе эти	2	3
108	в общем	2	3
109	гораздо более	2	3
110	в сущности	5	3
111	а а	5	3
112	этого слова	2	3
113	даже в	2	3
114	не с	2	3
115	на его	2	3
116	когда он	2	3
117	нам не	2	3
118	что она	2	3
119	в своем	4	3
120	в особенности	3	3
121	не было	3	3
122	в их	6	3
123	и даже	8	3
124	и он	2	3
125	несмотря на	2	3
126	той же	5	3
127	и здесь	2	3
128	с их	3	3
129	хотя и	2	3
130	нуждается в	2	3
131	в себе	2	3
132	здесь не	3	3
133	как это	3	3
134	в одном	4	3
135	е о	2	2
136	только к	2	2
137	о чем	4	2
138	никогда не	5	2
139	не является	5	2
140	одного и	3	2
141	и все	2	2
142	но с	2	2
143	что касается	3	2
144	в каждом	3	2
145	не всегда	3	2
146	по себе	4	2
147	в то	3	2
148	и того	3	2
149	как и	14	2
150	и как	4	2
151	в большинстве	2	2
152	же время	3	2
153	по преимуществу	2	2
154	свое время	2	2
155	роли в	3	2
156	в контексте	2	2
157	в свое	2	2
158	если в	3	2
159	к жизни	3	2
160	были бы	3	2
161	дело не	3	2
162	бы и	2	2
163	и а	4	2
164	он не	6	2
165	и для	2	2
166	иначе говоря	2	2
167	в слове	5	2
168	не мог	2	2
169	лишь в	5	2
170	во втором	4	2
171	доказывает что	2	2
172	после чего	2	2
173	когда мы	2	2
174	не столько	3	2
175	это по	2	2
176	на эту	2	2
177	могли бы	2	2
178	на примере	2	2
179	тогда как	20	2
180	ничего не	3	2
181	но в	2	2
182	любви к	2	2
