N	2gram	Tiupa_Vved_1	Istorich
1	не только	20	18
2	может быть	18	17
3	никогда не	4	15
4	и в	13	15
5	мы имеем	5	15
6	но и	19	14
7	что в	3	12
8	а в	6	12
9	то что	6	12
10	об этом	4	11
11	в этих	3	11
12	и не	12	11
13	в этом	21	11
14	то же	5	10
15	этих случаях	2	10
16	еще не	7	9
17	все же	6	9
18	потому что	5	9
19	один из	3	8
20	он не	3	8
21	должны были	2	8
22	детей в	2	8
23	мы можем	2	8
24	том что	7	7
25	в нем	5	7
26	таким образом	4	7
27	не в	6	7
28	наряду с	2	6
29	в его	4	6
30	как бы	4	6
31	что и	2	6
32	в том	10	6
33	только в	6	6
34	но в	6	6
35	прежде всего	7	5
36	к тому	6	5
37	как в	4	5
38	было бы	4	5
39	в котором	8	5
40	на него	2	5
41	так и	8	5
42	не может	7	5
43	а не	15	5
44	и наконец	2	5
45	можно было	2	5
46	представляет собой	15	5
47	к которому	2	5
48	с одной	5	4
49	но они	2	4
50	для нас	2	4
51	но это	3	4
52	в одной	2	4
53	при этом	26	4
54	в ней	4	4
55	у нее	2	4
56	и с	2	4
57	тем что	2	4
58	и на	3	4
59	в себе	5	4
60	в качестве	8	3
61	и его	5	3
62	из этих	3	3
63	одной стороны	5	3
64	о том	5	3
65	отношению к	7	3
66	по отношению	7	3
67	так в	4	3
68	того что	6	3
69	мы не	4	3
70	тому как	2	3
71	подобно тому	2	3
72	он и	2	3
73	как будто	4	3
74	что мы	2	3
75	представляют собой	3	3
76	как он	2	3
77	он является	2	2
78	тот кто	2	2
79	в изложении	2	2
80	зависит от	2	2
81	не было	2	2
82	и более	3	2
83	могут быть	4	2
84	перед нами	6	2
85	с другой	5	2
86	это не	6	2
87	не столько	4	2
88	в жизни	4	2
89	на самом	4	2
90	как и	11	2
91	мы видели	2	2
92	в силу	2	2
93	одна из	4	2
94	но не	5	2
95	а то	2	2
96	могла бы	3	2
97	вместо того	2	2
98	например в	2	2
99	и для	3	2
100	а также	8	2
101	обратимся к	2	2
102	не все	2	2
103	принадлежит к	3	2
104	во всех	2	2
105	приводит к	2	2
106	другой стороны	2	2
107	а с	2	2
108	самом деле	3	2
109	тем самым	5	2
110	и по	3	2
111	состоит в	10	2
112	это только	2	2
113	слова в	2	2
114	будто бы	3	2
115	здесь не	2	2
116	так сказать	2	2
117	их в	2	2
118	что смерть	2	2
119	тому же	4	2
