N	2gram	Nazirov_Tv_1	Myslijsy
1	потому что	5	52
2	то есть	12	42
3	и в	21	39
4	может быть	5	27
5	в том	7	26
6	только в	5	25
7	что в	12	22
8	не может	4	22
9	а не	5	21
10	так как	3	21
11	не только	7	21
12	в нем	3	20
13	но и	3	20
14	и не	7	18
15	том что	11	16
16	так что	2	16
17	не в	2	15
18	в этом	6	15
19	так и	2	13
20	в себе	2	13
21	таким образом	5	13
22	точно так	2	11
23	в человеке	4	10
24	что не	2	10
25	то что	8	10
26	как в	8	10
27	могут быть	2	9
28	как и	12	9
29	там же	3	9
30	мысли и	4	9
31	но в	7	9
32	но не	3	8
33	вместе с	2	8
34	того что	3	8
35	с другой	3	7
36	в ней	2	7
37	это не	4	7
38	в этих	2	7
39	же с	2	7
40	не менее	6	6
41	тем не	2	6
42	и как	4	6
43	как бы	17	6
44	что и	2	6
45	все же	5	6
46	и т	3	6
47	то же	13	6
48	при этом	7	6
49	и по	3	6
50	зависит от	2	5
51	из себя	2	5
52	вовсе не	5	5
53	что человек	3	5
54	но это	5	5
55	то в	2	5
56	в его	13	5
57	в первом	2	5
58	не имеют	4	5
59	так же	3	5
60	а в	6	5
61	и его	6	5
62	никогда не	3	4
63	однако в	2	4
64	тем самым	7	4
65	прежде всего	4	4
66	в свою	7	4
67	же время	12	4
68	для него	6	4
69	к тому	2	4
70	в своих	5	4
71	в каждом	3	4
72	не по	3	4
73	т п	2	4
74	и притом	2	4
75	и других	3	4
76	и даже	3	4
77	и необходимости	2	4
78	в то	15	4
79	на деле	2	4
80	и от	4	3
81	в жизни	2	3
82	что все	3	3
83	самого начала	3	3
84	о котором	2	3
85	с самого	3	3
86	в этой	5	3
87	в своем	4	3
88	того же	2	3
89	только на	2	3
90	все более	2	3
91	в своей	4	3
92	и тем	2	3
93	в мире	4	3
94	в самом	3	3
95	по мнению	3	3
96	что как	2	3
97	свободы и	2	3
98	не мог	2	3
99	не так	3	3
100	той же	3	3
101	что для	2	3
102	с ним	3	3
103	сказать что	2	3
104	хотя и	3	3
105	он не	8	3
106	отношений между	2	3
107	и все	6	3
108	и с	3	3
109	не существует	3	2
110	от мысли	2	2
111	но он	2	2
112	по крайней	2	2
113	стремление к	2	2
114	одного из	2	2
115	а как	2	2
116	но если	3	2
117	жизни и	3	2
118	уже не	3	2
119	есть не	2	2
120	не будет	2	2
121	мысль о	2	2
122	одним из	4	2
123	к ней	2	2
124	ли в	2	2
125	в виду	2	2
126	крайней мере	2	2
127	с ее	3	2
128	в целом	4	2
129	в их	3	2
130	для человека	3	2
131	только что	2	2
132	времени и	4	2
133	и того	2	2
134	еще более	2	2
135	в одно	2	2
136	или в	2	2
137	хотя бы	5	2
138	но без	2	2
139	в движении	2	2
140	влияние на	2	2
141	известно что	2	2
142	как будто	5	2
143	в один	2	2
144	о том	6	2
145	при помощи	2	2
146	дело в	3	2
147	так сказать	2	2
148	в которой	3	2
