N	2gram	Bakhtin_KF_1	Narrotol
1	не только	5	26
2	а не	17	17
3	но и	9	15
4	в том	6	14
5	при этом	4	14
6	в качестве	2	14
7	и не	26	14
8	том что	4	13
9	и в	24	13
10	в этом	14	13
11	только в	16	11
12	может быть	45	10
13	в данном	2	10
14	так и	2	9
15	сводится к	2	9
16	а в	4	9
17	то что	7	8
18	в себе	21	8
19	не может	27	8
20	не в	12	8
21	к себе	2	7
22	никогда не	5	6
23	в своем	16	6
24	в жизни	2	6
25	прежде всего	2	6
26	того что	3	6
27	в его	40	6
28	со стороны	7	6
29	жизни в	5	6
30	все же	5	6
31	как бы	9	6
32	ничего не	3	6
33	но в	5	6
34	место в	5	5
35	точки зрения	12	5
36	тем не	2	5
37	что он	2	5
38	он не	6	5
39	в котором	24	5
40	я не	6	5
41	и тем	3	5
42	в нем	28	5
43	отношению к	22	5
44	как в	2	5
45	по отношению	26	5
46	тем самым	4	5
47	в то	3	5
48	о том	3	5
49	что это	3	4
50	не менее	3	4
51	если бы	8	4
52	отнюдь не	6	4
53	как и	5	4
54	времени и	4	4
55	что в	4	4
56	для него	8	4
57	жизни и	8	4
58	в своей	10	4
59	в ее	16	4
60	то же	5	4
61	уже не	7	4
62	в мире	6	4
63	в другом	3	4
64	в этой	2	4
65	и т.д	2	4
66	и все	7	4
67	с ним	5	4
68	в себя	7	4
69	мира в	6	4
70	а как	2	3
71	тому что	2	3
72	мы имеем	5	3
73	это не	10	3
74	или иного	3	3
75	или иной	2	3
76	и того	2	3
77	в соответствии	2	3
78	соответствии с	2	3
79	что я	5	3
80	но не	12	3
81	же время	2	3
82	того или	3	3
83	и когда	2	3
84	той или	3	3
85	о нем	4	3
86	для себя	5	3
87	один из	2	3
88	в целом	10	3
89	как к	2	3
90	все эти	10	3
91	самом деле	3	3
92	того чтобы	2	3
93	и для	9	3
94	и его	17	3
95	с ними	3	3
96	между тем	4	3
97	которой он	2	3
98	едва ли	2	3
99	мира и	4	3
100	дело с	2	2
101	в принципе	2	2
102	моей жизни	4	2
103	хотя бы	4	2
104	мира не	3	2
105	я уже	2	2
106	вовсе не	7	2
107	вследствие этого	2	2
108	и здесь	7	2
109	в свою	3	2
110	не должен	3	2
111	для нас	4	2
112	пространство и	2	2
113	только по	2	2
114	раскол между	2	2
115	по своему	3	2
116	должна быть	4	2
117	еще не	4	2
118	было бы	8	2
119	со всеми	2	2
120	себе и	3	2
121	ему в	2	2
122	не могу	3	2
123	но для	2	2
124	от его	5	2
125	в него	2	2
126	оно не	2	2
127	себя не	3	2
128	что и	7	2
129	его жизни	3	2
130	он может	2	2
131	себя в	8	2
132	не будет	2	2
133	в современной	3	2
134	в процессе	2	2
135	бытия в	5	2
136	в составе	2	2
137	а с	2	2
138	если не	2	2
139	именно в	5	2
140	на самом	3	2
141	с точки	9	2
142	не имеет	5	2
143	мы не	3	2
144	в чем	4	2
145	но это	6	2
146	вступает в	3	2
147	в ней	3	2
148	в виде	2	2
149	в своих	3	2
150	всей своей	2	2
151	в категориях	4	2
152	говорить о	2	2
153	здесь не	3	2
154	потому что	2	2
155	в бытии	26	2
156	в области	2	2
157	могло бы	4	2
158	в сознании	2	2
