N	3gram	Bakhtin_Pr_2	slovoVRo
1	и т п	9	23
2	то же время	5	12
3	в то же	5	12
4	в узком смысле	2	10
5	той или иной	3	9
6	в той или	3	9
7	с точки зрения	8	8
8	с чужим словом	4	8
9	в большинстве случаев	8	6
10	в отношении к	2	6
11	и т д	4	5
12	как мы сказали	2	4
13	к чужому слову	6	4
14	с другой стороны	3	4
15	но в то	3	4
16	в самом предмете	2	3
17	более или менее	3	3
18	чужим словом в	3	3
19	в то время	2	2
20	одно и то	2	2
21	можно было бы	3	2
22	и не может	4	2
23	ту же тему	2	2
24	до сих пор	7	2
25	и то же	2	2
26	не укладывается в	2	2
27	то время как	2	2
28	о том же	2	2
29	друг с другом	4	2
