N	3gram	Losev_Prob_5	Vladivir
1	в том что	8	10
2	тем не менее	5	9
3	о том что	9	8
4	с точки зрения	8	6
5	не может быть	2	6
6	вместе с тем	3	6
7	в конце концов	6	5
8	в те времена	2	5
9	дело в том	2	5
10	необходимо сказать что	4	5
11	в то время	3	4
12	точно так же	3	4
13	и то что	3	4
14	также и то	2	3
15	в этом смысле	3	3
16	на первом плане	3	3
17	с одной стороны	3	3
18	если не прямо	2	3
19	бы то ни	2	3
20	во всяком случае	2	3
21	в настоящее время	3	3
22	в данном случае	2	2
23	в связи с	7	2
24	в таком случае	2	2
25	но даже и	2	2
26	а с другой	3	2
27	то время как	3	2
28	также и в	2	2
29	на то что	2	2
30	с другой стороны	5	2
31	в это время	2	2
32	в сравнении с	3	2
