N	2gram	Bakhtin_Fr_8	Dialekti
1	и не	9	27
2	а не	2	26
3	точки зрения	6	25
4	и в	56	24
5	не только	8	23
6	не может	2	19
7	не просто	3	18
8	что все	4	14
9	то что	3	14
10	с точки	2	14
11	может быть	3	13
12	таким образом	17	13
13	и даже	8	13
14	что он	2	13
15	вовсе не	6	13
16	что это	4	12
17	есть и	5	12
18	только не	2	10
19	в сущности	8	10
20	ни в	2	9
21	но и	9	9
22	что она	2	9
23	прежде всего	6	8
24	так что	3	8
25	и как	2	8
26	том что	8	8
27	в этом	14	8
28	в виде	2	8
29	что в	5	7
30	никогда не	5	7
31	в самом	9	7
32	в особенности	4	7
33	потому что	6	7
34	как и	5	7
35	только на	2	7
36	как раз	2	7
37	вещей и	11	6
38	кроме того	3	6
39	все это	8	6
40	и с	8	6
41	о том	4	6
42	так как	4	6
43	если бы	2	6
44	и все	6	6
45	что и	3	6
46	не на	3	6
47	то же	11	6
48	самом деле	2	6
49	с этой	2	5
50	в том	13	5
51	но это	2	5
52	хотя и	2	5
53	точка зрения	2	5
54	и его	12	5
55	что для	3	5
56	в то	12	5
57	в них	11	5
58	и к	4	5
59	было бы	2	5
60	он не	5	5
61	так и	13	5
62	уже не	3	5
63	мы не	2	5
64	только в	9	5
65	с другой	2	4
66	это не	2	4
67	первый план	2	4
68	то время	2	4
69	так же	2	4
70	сказать что	3	4
71	конечно не	4	4
72	говорит о	2	4
73	и то	2	4
74	для него	2	4
75	перед нами	3	3
76	не было	5	3
77	все же	2	3
78	вопрос об	2	3
79	за пределы	4	3
80	в своем	3	3
81	его как	2	3
82	не в	3	3
83	же время	10	3
84	одной стороны	2	3
85	в основе	4	3
86	в нем	8	3
87	из них	2	3
88	с одной	4	3
89	все эти	15	3
90	и на	7	3
91	он и	2	3
92	мы уже	10	3
93	во всем	4	3
94	мир и	2	3
95	как целое	2	3
96	мира и	2	3
97	одна из	4	3
98	ни о	2	3
99	и о	3	3
100	как бы	11	3
101	для того	2	3
102	из которых	2	3
103	к нему	2	3
104	той же	6	3
105	в слове	2	3
106	в каком	2	3
107	и ее	4	3
108	в частности	7	2
109	о себе	2	2
110	еще не	10	2
111	при этом	4	2
112	несмотря на	2	2
113	например в	4	2
114	той или	2	2
115	и тела	2	2
116	другой стороны	2	2
117	целый ряд	2	2
118	как например	3	2
119	еще и	3	2
120	они не	5	2
121	а в	2	2
122	в своих	4	2
123	людей и	2	2
124	также и	2	2
125	их в	4	2
126	в ней	4	2
127	он дает	2	2
128	и здесь	3	2
129	и потому	4	2
130	бы в	3	2
131	грань между	2	2
132	нет ни	2	2
133	но в	6	2
134	с его	5	2
135	у него	7	2
136	из нее	2	2
137	на котором	2	2
138	нового времени	2	2
139	и во	2	2
140	в их	3	2
141	в условиях	5	2
142	и эти	2	2
143	но не	5	2
144	фактов и	2	2
145	на них	3	2
146	как мы	7	2
147	и для	2	2
148	ничто не	2	2
149	в данном	2	2
150	бы то	2	2
151	в себе	4	2
152	в его	18	2
