N	3gram	Medvedev_F_1	Marksizm
1	с точки зрения	13	20
2	не может быть	5	13
3	и не может	2	9
4	бы то ни	3	8
5	до сих пор	6	8
6	в связи с	2	7
7	в настоящее время	10	6
8	науки об идеологиях	10	5
9	до настоящего времени	2	5
10	наука об идеологиях	2	4
11	связи с этим	2	3
12	в большинстве случаев	2	3
13	в ее целом	3	3
14	может быть и	3	3
15	в то же	8	3
16	то же время	8	3
17	смысле этого слова	3	2
18	идеалистическая философия культуры	3	2
19	в свою очередь	6	2
20	пр и пр	2	2
21	нет и не	2	2
22	и пр и	2	2
23	только на почве	2	2
24	как если бы	2	2
25	об идеологиях и	2	2
26	сама по себе	2	2
27	но в то	2	2
28	во всяком случае	4	2
29	сводится к тому	2	2
30	по отношению к	4	2
31	как и все	2	2
