N	2gram	Propp_Isto_1	NovoeSre
1	а не	15	17
2	не может	15	16
3	и в	28	16
4	и не	9	11
5	что в	12	9
6	в эпоху	2	9
7	он не	2	8
8	в том	9	8
9	как и	4	7
10	в этом	8	7
11	может быть	25	7
12	никогда не	14	6
13	не знает	5	6
14	не в	9	6
15	но это	4	6
16	должен быть	3	5
17	в нем	2	5
18	все это	4	5
19	xix века	2	5
20	в ней	7	5
21	не только	12	5
22	не менее	6	4
23	то что	9	4
24	большую роль	2	4
25	это не	7	4
26	и для	4	4
27	должно быть	2	4
28	потому что	4	4
29	прежде всего	10	4
30	и мы	2	4
31	о том	9	4
32	и потому	2	4
33	но и	10	3
34	не есть	2	3
35	не существует	2	3
36	должна быть	5	3
37	с другой	6	3
38	вопрос о	5	3
39	во всех	2	3
40	не означает	2	3
41	и пр	4	3
42	эти формы	3	3
43	к тому	6	3
44	что такое	2	3
45	в ее	2	3
46	в основе	4	3
47	с тем	4	3
48	конечно не	2	3
49	как в	2	3
50	еще не	7	3
51	наряду с	3	3
52	сказать что	5	3
53	к ним	4	3
54	это было	2	3
55	я не	3	2
56	себя в	2	2
57	вместе с	6	2
58	так и	9	2
59	что она	5	2
60	для этого	3	2
61	другой стороны	5	2
62	и от	2	2
63	а в	7	2
64	с одной	4	2
65	все эти	4	2
66	уже не	3	2
67	одной стороны	4	2
68	зависит от	2	2
69	и даже	4	2
70	хотя бы	4	2
71	но не	5	2
72	ни к	2	2
73	так же	7	2
74	по существу	5	2
75	время как	3	2
76	мы не	10	2
77	том что	7	2
78	можно было	5	2
79	же как	2	2
80	можно назвать	2	2
81	одна из	2	2
82	и с	4	2
83	и что	10	2
84	могут быть	4	2
85	с этим	4	2
86	и на	4	2
87	в себе	2	2
88	в то	3	2
89	как будто	4	2
90	когда мы	2	2
91	том чтобы	2	2
92	как это	3	2
93	и должно	3	2
94	но в	8	2
