N	2gram	Propp_Russ_2	VerxiiNi
1	и в	29	26
2	таким образом	6	22
3	с тем	6	18
4	вместе с	6	15
5	в этом	11	15
6	как бы	18	12
7	в том	22	11
8	может быть	13	10
9	не только	10	10
10	и с	10	10
11	из этих	2	10
12	связи с	2	9
13	что в	22	9
14	но и	8	9
15	так как	13	9
16	с другой	2	8
17	главным образом	3	8
18	но не	5	8
19	связанные с	2	7
20	том что	22	7
21	одной стороны	2	7
22	из них	4	7
23	к нему	4	7
24	то что	5	7
25	а с	2	7
26	с одной	2	7
27	потому что	5	7
28	но в	5	7
29	представление о	5	6
30	что и	2	6
31	все же	2	6
32	все это	10	6
33	все эти	3	6
34	о том	9	6
35	образом в	2	5
36	никогда не	2	5
37	к жизни	5	5
38	так же	4	5
39	а не	4	5
40	того чтобы	6	5
41	для того	6	5
42	не имеет	3	5
43	и для	2	5
44	должен был	3	4
45	в этих	3	4
46	и от	3	4
47	из которых	2	4
48	в котором	3	4
49	не может	5	4
50	а в	9	4
51	то же	4	4
52	в течение	2	4
53	и что	5	4
54	и по	3	4
55	с другими	3	4
56	в которых	4	4
57	во время	12	4
58	в виде	4	4
59	в то	2	4
60	в этой	3	4
61	далеко не	4	4
62	не менее	2	3
63	же как	4	3
64	и другие	14	3
65	что это	3	3
66	к этому	5	3
67	так что	4	3
68	и как	2	3
69	и при	2	3
70	представляет собой	2	3
71	в качестве	3	3
72	и о	3	3
73	в народном	3	3
74	тем не	2	3
75	с ней	5	3
76	при этом	6	3
77	уже не	4	3
78	того что	3	3
79	в которой	2	3
80	у них	2	3
81	в таком	4	3
82	с этой	2	3
83	на нее	6	3
84	в других	15	3
85	начиная с	2	2
86	именно в	4	2
87	состоит в	15	2
88	одно из	2	2
89	в них	4	2
90	тогда когда	4	2
91	в образе	2	2
92	прежде всего	2	2
93	не всегда	3	2
94	а также	4	2
95	по существу	4	2
96	мы видели	7	2
97	должна была	5	2
98	и другой	3	2
99	связано с	2	2
100	еще не	6	2
101	в русских	4	2
102	должно было	3	2
103	но если	3	2
104	иной характер	2	2
105	но вместе	2	2
106	один из	2	2
107	не с	2	2
108	не к	2	2
109	во всех	3	2
110	связь с	3	2
111	для этого	5	2
112	не было	2	2
113	мы имеем	6	2
114	одним из	2	2
115	и на	6	2
116	людей и	2	2
117	не в	4	2
118	тем и	2	2
119	и после	3	2
120	и все	4	2
121	так чтобы	2	2
122	из этого	2	2
123	в эту	3	2
124	между тем	3	2
125	в виду	2	2
