N	2gram	Berdyaev_M_2	Analitik
1	не только	18	22
2	и в	46	18
3	как и	13	14
4	так и	4	14
5	в этом	20	14
6	но и	15	13
7	и его	5	13
8	том что	4	12
9	и не	18	12
10	а в	2	10
11	как бы	8	10
12	может быть	21	9
13	что в	4	9
14	а не	13	9
15	в том	3	9
16	с его	4	8
17	не случайно	2	8
18	в его	5	7
19	в русской	6	7
20	отношению к	2	7
21	по отношению	2	7
22	к тому	5	6
23	не в	9	6
24	для него	18	6
25	в этой	7	6
26	он не	10	6
27	и самого	3	6
28	о том	3	6
29	никогда не	18	5
30	в конце	5	5
31	прежде всего	12	5
32	в свою	4	5
33	или иной	2	5
34	такого рода	2	5
35	в самом	5	5
36	что и	4	5
37	в мире	7	5
38	в сущности	2	5
39	лишь в	2	5
40	уже не	4	5
41	той же	3	5
42	между тем	2	5
43	в своем	8	4
44	по себе	2	4
45	что он	7	4
46	и к	7	4
47	себя в	4	4
48	не есть	13	4
49	принадлежит к	2	4
50	и на	3	4
51	уже в	2	3
52	в каждом	3	3
53	были бы	2	3
54	личности в	2	3
55	не всегда	2	3
56	что они	3	3
57	мысль о	2	3
58	не будет	3	3
59	как в	7	3
60	то же	5	3
61	не было	11	3
62	что не	2	3
63	его не	2	3
64	ничего не	2	3
65	точки зрения	2	3
66	подобно тому	2	3
67	во всем	5	3
68	жизнь и	4	3
69	его в	3	3
70	я и	2	3
71	бы и	5	2
72	в них	3	2
73	это не	5	2
74	и от	3	2
75	в жизни	4	2
76	в нем	22	2
77	есть не	5	2
78	да и	2	2
79	то в	2	2
80	с самим	3	2
81	это и	3	2
82	не от	2	2
83	на его	2	2
84	по преимуществу	5	2
85	и той	2	2
86	хотя и	2	2
87	в ней	11	2
88	от его	2	2
89	и потому	7	2
90	этом он	2	2
91	по своей	3	2
92	один из	5	2
93	то что	5	2
94	во всех	2	2
95	вместе с	2	2
96	что она	5	2
97	не может	15	2
98	как к	2	2
99	в глубине	3	2
100	отношения к	2	2
101	не для	3	2
102	но с	2	2
103	те же	5	2
104	одной и	2	2
105	и вот	5	2
106	более чем	2	2
107	не мог	3	2
108	и он	11	2
109	и для	7	2
110	от своей	2	2
111	тому как	2	2
112	сказать что	3	2
113	тем что	3	2
114	личности и	2	2
115	в себе	10	2
116	и здесь	6	2
117	только в	3	2
118	вопроса о	4	2
119	и все	5	2
120	но в	10	2
121	любви к	7	2
122	а для	2	2
