N	2gram	Tiupa_Narr_2	RusskieA
1	и в	13	29
2	что в	4	22
3	том что	13	22
4	в том	14	22
5	как бы	6	18
6	состоит в	12	15
7	в других	2	15
8	может быть	10	13
9	во время	2	12
10	как и	4	11
11	одна из	3	11
12	в этом	13	11
13	не только	26	10
14	о том	5	9
15	а в	9	9
16	но и	15	8
17	данном случае	6	7
18	как в	5	7
19	представляют собой	2	7
20	мы не	2	6
21	же в	4	6
22	еще не	2	6
23	для нас	2	6
24	таким образом	5	6
25	при этом	14	6
26	того чтобы	3	6
27	в данном	10	6
28	мы имеем	3	6
29	потому что	2	5
30	это не	3	5
31	то что	8	5
32	и что	2	5
33	но не	3	5
34	и т	2	5
35	не может	8	5
36	но в	6	5
37	именно в	2	4
38	о чем	2	4
39	и все	4	4
40	не все	2	4
41	уже не	4	4
42	не в	8	4
43	же как	2	4
44	а также	6	4
45	так же	2	4
46	то и	3	4
47	то же	4	4
48	у нас	2	4
49	а не	17	4
50	в таком	3	4
51	в виде	2	4
52	далеко не	5	4
53	как это	4	4
54	должен был	2	3
55	в качестве	14	3
56	в ее	4	3
57	того что	6	3
58	было бы	2	3
59	что она	2	3
60	в котором	5	3
61	не имеет	2	3
62	в отличие	5	3
63	не объясняет	2	3
64	все эти	3	3
65	и по	3	3
66	или даже	3	3
67	тому как	2	3
68	между тем	3	3
69	xix в	2	3
70	но он	2	3
71	подобно тому	2	3
72	в этой	4	3
73	что это	4	3
74	отличие от	5	3
75	не менее	4	2
76	с этой	3	2
77	об этом	4	2
78	никогда не	6	2
79	между собой	3	2
80	жизни в	6	2
81	о них	2	2
82	с другой	5	2
83	представления о	2	2
84	не столько	5	2
85	из этих	2	2
86	прежде всего	6	2
87	как уже	2	2
88	из наиболее	2	2
89	что и	2	2
90	к ней	3	2
91	что с	2	2
92	говорит о	2	2
93	одной стороны	5	2
94	все то	2	2
95	и дело	2	2
96	тем не	5	2
97	в церкви	2	2
98	в него	2	2
99	за пределами	3	2
100	один из	3	2
101	все же	6	2
102	в своей	4	2
103	не к	4	2
104	в форме	5	2
105	тогда как	15	2
106	а с	2	2
107	с одной	5	2
108	в течение	2	2
109	на самом	2	2
110	ней в	2	2
111	и для	3	2
112	можно было	2	2
113	а к	3	2
114	в своих	2	2
115	пока еще	3	2
116	с другим	2	2
117	одно из	2	2
118	в то	5	2
119	видно что	2	2
120	представляет собой	16	2
121	в состав	3	2
122	церкви и	2	2
