N	2gram	Voloshinov_1	Psycholo
1	то что	8	32
2	и в	19	31
3	в том	6	30
4	что в	4	23
5	может быть	26	22
6	таким образом	17	20
7	ясно что	5	19
8	при этом	8	19
9	так как	2	18
10	не может	24	17
11	как и	12	16
12	том что	3	16
13	и не	26	16
14	точки зрения	34	15
15	только в	9	14
16	а не	7	13
17	не только	8	13
18	что и	2	13
19	так же	7	12
20	если мы	11	12
21	мы не	6	12
22	в этом	16	12
23	в самом	10	11
24	могут быть	2	11
25	не в	5	11
26	в области	3	11
27	в сущности	3	10
28	того что	3	10
29	по себе	4	9
30	ни в	2	9
31	как в	4	9
32	самом деле	10	9
33	никогда не	2	8
34	все это	3	8
35	во всяком	5	8
36	что он	2	7
37	и его	19	7
38	того чтобы	5	7
39	сказать что	4	7
40	о том	2	7
41	вовсе не	5	6
42	зависимости от	2	6
43	до конца	5	6
44	было бы	4	6
45	если бы	2	6
46	из этих	2	6
47	всяком случае	2	6
48	отнюдь не	6	6
49	целый ряд	3	6
50	а в	4	6
51	для того	4	6
52	и даже	2	6
53	в его	6	6
54	и есть	3	5
55	формы и	3	5
56	и все	5	5
57	не является	4	5
58	в ее	7	5
59	все же	8	5
60	она не	2	5
61	совершенно не	3	5
62	в какой	3	5
63	как бы	15	5
64	в процессе	14	5
65	другой стороны	6	5
66	и для	11	5
67	то же	7	5
68	с другой	5	5
69	в то	3	5
70	к тому	2	4
71	в которой	3	4
72	в котором	3	4
73	в виду	2	4
74	прежде всего	13	4
75	тому что	2	4
76	одной и	2	4
77	различие между	3	4
78	в себе	2	4
79	отличие от	5	4
80	же как	2	4
81	одна из	2	4
82	формы в	2	4
83	у нас	2	4
84	точка зрения	7	4
85	к этому	5	4
86	те же	5	4
87	для всех	2	4
88	в своих	2	4
89	совпадает с	2	4
90	с этой	2	4
91	в результате	9	4
92	мы можем	2	4
93	этого слова	2	4
94	там где	2	4
95	между тем	3	4
96	психологии и	7	3
97	не могут	3	3
98	в частности	2	3
99	именно эти	2	3
100	в своем	2	3
101	точку зрения	2	3
102	только при	3	3
103	что все	2	3
104	в каждом	7	3
105	должна быть	2	3
106	вопрос о	4	3
107	и к	3	3
108	мы знаем	5	3
109	это и	3	3
110	не будет	4	3
111	до сих	8	3
112	из которых	2	3
113	нет никакой	2	3
114	в слове	10	3
115	он не	3	3
116	сих пор	8	3
117	не есть	3	3
118	жизни и	2	3
119	в своей	3	3
120	и той	2	3
121	так и	11	3
122	только на	4	3
123	в отличие	5	3
124	не было	3	3
125	и других	2	3
126	от того	4	3
127	должны быть	3	3
128	той же	2	3
129	в таком	2	3
130	в одной	2	3
131	и только	2	3
132	с этим	4	3
133	нуждается в	3	3
134	может стать	5	3
135	в конце	5	3
136	и это	3	3
137	конце концов	3	3
138	мысли в	2	3
139	но в	7	3
140	в основе	2	2
141	не менее	4	2
142	не существует	3	2
143	этого материала	2	2
144	сама по	2	2
145	независимо от	2	2
146	этом смысле	2	2
147	и как	3	2
148	до тех	2	2
149	целом ряде	2	2
150	и другую	2	2
151	и во	2	2
152	и от	3	2
153	психологии является	2	2
154	одного и	5	2
155	и ту	3	2
156	и здесь	6	2
157	объективная психология	4	2
158	быть в	2	2
159	смысле этого	3	2
160	нам придется	2	2
161	тем не	2	2
162	основных понятий	2	2
163	и потому	5	2
164	в качестве	2	2
165	того же	6	2
166	что само	2	2
167	всех других	3	2
168	не дает	3	2
169	настоящее время	6	2
170	тот же	4	2
171	и тот	4	2
172	это отношение	2	2
173	что такое	2	2
174	и их	2	2
175	имеет место	2	2
176	и следовательно	3	2
177	далеко не	4	2
178	на почве	6	2
179	речь и	2	2
180	в нем	10	2
181	из них	3	2
182	но и	8	2
183	что же	4	2
184	мысли и	4	2
185	как мы	13	2
186	как раз	2	2
187	в связи	7	2
188	в настоящее	6	2
189	этом отношении	3	2
190	же самое	3	2
191	на самом	3	2
192	подойти к	2	2
193	в науке	6	2
194	с точки	20	2
195	от него	2	2
196	в чем	2	2
197	ничего не	6	2
198	двух направлений	3	2
199	образ и	2	2
200	как к	2	2
201	этой школы	3	2
202	и с	2	2
203	из виду	2	2
204	в каком	3	2
205	отношения базиса	3	2
206	бы и	2	2
207	в сознании	2	2
208	бы в	2	2
209	ту же	2	2
210	психологии в	4	2
211	его в	3	2
212	как он	2	2
213	таком случае	2	2
214	из этого	2	2
215	базиса и	4	2
216	к этой	2	2
217	как она	2	2
