N	2gram	Tiupa_Teor_1	Myshleni
1	внутренней речи	13	67
2	речи и	2	30
3	в этом	8	29
4	точки зрения	9	28
5	и в	18	26
6	не только	16	24
7	то что	3	24
8	таким образом	3	23
9	с точки	3	21
10	представляет собой	9	19
11	в том	16	18
12	и не	13	18
13	внешней речи	2	18
14	том что	9	17
15	потому что	3	16
16	как и	4	15
17	того что	4	14
18	так же	2	14
19	в ходе	4	12
20	что в	9	12
21	вместе с	2	12
22	и его	8	12
23	в которой	2	11
24	но и	9	11
25	только не	2	11
26	в слове	3	11
27	не может	4	11
28	по своей	3	10
29	по своему	2	9
30	тому что	2	9
31	в самом	4	9
32	мышления и	2	9
33	в себе	9	9
34	то же	7	8
35	что она	2	8
36	сказать что	3	8
37	ее в	2	8
38	тем самым	4	8
39	только в	6	8
40	к тому	2	7
41	прежде всего	2	7
42	может быть	17	7
43	и к	3	7
44	и то	2	7
45	в какой	2	6
46	и тем	3	6
47	по отношению	4	6
48	именно в	3	6
49	заключается в	2	6
50	как бы	5	6
51	между собой	3	6
52	в ее	5	6
53	и что	3	6
54	все эти	2	6
55	а не	9	6
56	слова в	2	5
57	можно сказать	3	5
58	одной стороны	2	5
59	если бы	3	5
60	в виду	5	5
61	чем это	2	5
62	в целом	3	5
63	во второй	7	5
64	данном случае	5	5
65	с одной	2	5
66	могли бы	2	5
67	как это	8	5
68	в качестве	24	5
69	отношению к	4	5
70	как говорит	3	5
71	слова как	3	5
72	если мы	2	5
73	и для	2	5
74	в данном	8	5
75	речи а	2	5
76	не менее	4	4
77	не могут	2	4
78	никогда не	4	4
79	в нашем	4	4
80	с другой	7	4
81	в конце	2	4
82	имеет место	2	4
83	если в	2	4
84	в момент	2	4
85	в его	6	4
86	но в	9	4
87	еще не	4	4
88	одной из	2	4
89	своей природе	2	4
90	как в	5	4
91	приводит к	5	4
92	в той	2	4
93	не в	7	4
94	в области	4	4
95	я не	2	3
96	все это	2	3
97	это не	2	3
98	из этих	3	3
99	тем не	3	3
100	есть в	2	3
101	для него	2	3
102	мог бы	3	3
103	совпадает с	3	3
104	и является	2	3
105	в основе	3	3
106	между ними	4	3
107	не является	4	3
108	в первой	5	3
109	значения и	2	3
110	как к	2	3
111	в самой	2	3
112	во втором	3	3
113	самом начале	2	3
114	и по	2	3
115	имеет в	2	3
116	он не	3	3
117	в первом	2	3
118	состоит в	17	3
119	об этом	2	3
120	в то	6	3
121	но не	9	3
122	мы в	2	3
123	и о	4	3
124	и потому	2	3
125	этого слова	3	3
126	что и	2	3
127	в своей	6	3
128	так и	10	3
129	как раз	2	3
130	отличается от	2	3
131	с другими	5	3
132	между двумя	3	3
133	в этой	3	3
134	перед нами	2	2
135	но напротив	2	2
136	казалось бы	2	2
137	к действительности	3	2
138	в этих	3	2
139	столь же	2	2
140	никто не	2	2
141	ни в	2	2
142	свою очередь	2	2
143	во внутренней	2	2
144	в большинстве	2	2
145	в свою	3	2
146	случае не	2	2
147	или в	3	2
148	одним из	2	2
149	в конечном	6	2
150	один из	2	2
151	в нем	4	2
152	с ее	3	2
153	отношение к	5	2
154	это отношение	3	2
155	в их	2	2
156	отношения к	2	2
157	лишь в	6	2
158	и больше	2	2
159	а в	13	2
160	самим собой	3	2
161	но он	3	2
162	к его	2	2
163	его в	2	2
164	конечном счете	6	2
165	этих двух	2	2
166	вовсе не	3	2
167	и здесь	2	2
168	у нас	2	2
169	то в	2	2
170	внутренней и	2	2
171	о своем	2	2
172	даже в	3	2
173	деятельности в	2	2
174	в отношении	3	2
175	в отличие	6	2
176	своей внутренней	2	2
177	говорит что	2	2
178	могут быть	4	2
179	на деле	2	2
180	и ее	3	2
181	отличие от	6	2
