N	2gram	Tiupa_Lite_2	FransuaR
1	и в	19	29
2	то есть	5	21
3	и не	11	16
4	в этой	3	13
5	как и	10	12
6	и т.п	10	12
7	но в	2	12
8	так и	7	11
9	и на	6	11
10	в этом	9	11
11	то же	12	10
12	в то	9	10
13	не только	8	10
14	вовсе не	2	9
15	в конце	2	9
16	но и	10	9
17	и с	3	9
18	же время	9	8
19	прежде всего	4	8
20	в образах	2	8
21	в его	4	8
22	и его	3	8
23	как бы	2	8
24	в них	2	7
25	в том	10	7
26	так как	3	7
27	из них	2	6
28	в сущности	3	6
29	своего рода	13	6
30	у него	2	5
31	того же	4	5
32	до конца	2	5
33	в нем	3	5
34	и до	2	5
35	он и	2	5
36	в нашем	2	4
37	что он	3	4
38	но это	3	4
39	еще не	2	4
40	и др	3	4
41	один из	4	4
42	то что	7	4
43	жизни и	4	4
44	и одновременно	2	4
45	с другой	8	4
46	в результате	2	4
47	тем что	4	4
48	точки зрения	4	4
49	том числе	2	3
50	тому как	2	3
51	в частности	4	3
52	в качестве	5	3
53	с ее	2	3
54	в ее	2	3
55	а затем	2	3
56	все же	2	3
57	но как	2	3
58	том что	7	3
59	и как	3	3
60	то в	2	3
61	такой же	3	3
62	ведь это	2	3
63	и сам	2	3
64	тот же	2	3
65	того что	5	3
66	той же	2	3
67	по преимуществу	2	3
68	он не	5	3
69	другой стороны	4	3
70	как к	3	3
71	при этом	6	3
72	и других	4	3
73	в году	5	3
74	и за	2	3
75	для того	2	3
76	и даже	8	3
77	не случайно	4	3
78	в ней	4	3
79	подобно тому	2	3
80	в себе	6	3
81	уже в	2	2
82	жизни в	4	2
83	быть может	3	2
84	в жизни	2	2
85	и к	2	2
86	одной из	2	2
87	но только	2	2
88	соответствии с	2	2
89	что я	2	2
90	тех кто	4	2
91	на этом	2	2
92	но не	5	2
93	в себя	3	2
94	одной стороны	6	2
95	не может	9	2
96	может быть	17	2
97	никогда не	3	2
98	уже не	2	2
99	а также	2	2
100	в виду	2	2
101	если в	2	2
102	со стороны	3	2
103	и для	3	2
104	себя в	6	2
105	в их	3	2
106	как раз	2	2
107	с одной	7	2
108	с образом	2	2
109	и наконец	2	2
110	с точки	3	2
111	на свете	2	2
112	не столько	3	2
113	друг друга	2	2
114	как на	3	2
115	в своих	2	2
116	и то	3	2
117	в основе	2	2
118	даже и	2	2
119	о том	2	2
120	как он	2	2
121	с ним	2	2
122	традиции как	2	2
