N	2gram	Potebnia_M_3	RusskieA
1	и в	30	36
2	не только	21	22
3	что в	17	19
4	том что	18	19
5	в том	32	17
6	но и	19	16
7	так как	13	15
8	во время	2	14
9	в этом	10	12
10	в других	2	11
11	как мы	7	10
12	как и	10	10
13	и т	5	10
14	вместе с	12	10
15	и на	3	10
16	потому что	46	10
17	об этом	2	9
18	т д	3	9
19	а в	12	9
20	с тем	7	8
21	из них	6	8
22	может быть	28	8
23	один из	4	8
24	и по	4	8
25	о том	2	8
26	что они	2	7
27	что и	13	7
28	так и	11	7
29	между тем	9	7
30	и не	15	6
31	для нас	20	6
32	так например	2	6
33	при этом	3	6
34	в них	5	6
35	уже не	6	6
36	таким образом	14	6
37	мы не	9	6
38	все это	4	6
39	не имеет	6	6
40	в виде	2	6
41	то что	18	6
42	показывает что	2	5
43	все же	2	5
44	как бы	3	5
45	а и	4	5
46	в которых	2	5
47	одно из	5	5
48	как в	10	5
49	там же	6	5
50	того как	4	5
51	тому что	3	4
52	из этих	9	4
53	к этому	3	4
54	к тому	7	4
55	еще не	5	4
56	связи с	2	4
57	его с	2	4
58	в их	2	4
59	с в	2	4
60	так в	2	4
61	не может	6	4
62	входит в	2	4
63	а с	2	4
64	и что	10	4
65	того что	18	4
66	но это	6	4
67	тем что	7	4
68	только в	21	4
69	что по	2	4
70	слова в	7	3
71	не менее	5	3
72	что это	4	3
73	в своем	5	3
74	но все	2	3
75	в одном	2	3
76	думать что	5	3
77	в свою	3	3
78	от них	2	3
79	тем не	3	3
80	не можем	3	3
81	несмотря на	2	3
82	только на	3	3
83	по содержанию	2	3
84	или на	2	3
85	в разных	2	3
86	то же	23	3
87	к тем	2	3
88	так же	3	3
89	их в	2	3
90	точки зрения	2	3
91	то есть	34	3
92	далеко не	4	3
93	этого слова	11	3
94	народной поэзии	2	3
95	в области	2	3
96	не было	4	2
97	до того	4	2
98	независимо от	5	2
99	могут быть	3	2
100	но тем	2	2
101	та же	2	2
102	с этим	6	2
103	и потому	4	2
104	в каждом	3	2
105	в образе	3	2
106	на все	2	2
107	его к	2	2
108	что именно	4	2
109	в нем	9	2
110	у него	2	2
111	такое же	3	2
112	так что	7	2
113	и как	5	2
114	представления и	3	2
115	мы видим	2	2
116	в силу	3	2
117	свою очередь	3	2
118	но не	7	2
119	тем и	3	2
120	но что	2	2
121	она не	2	2
122	не были	2	2
123	например в	6	2
124	к слову	2	2
125	связь между	2	2
126	том же	2	2
127	в ней	8	2
128	должно было	2	2
129	в его	4	2
130	и с	2	2
131	в целом	3	2
132	и до	2	2
133	природы и	2	2
134	что она	3	2
135	разница между	3	2
136	многие другие	2	2
137	тогда как	2	2
138	в какой	2	2
139	которого в	2	2
140	а не	15	2
141	только по	5	2
142	с ним	6	2
143	или в	3	2
144	тут же	2	2
145	мы можем	3	2
146	себя и	4	2
147	к ней	5	2
148	ничего общего	2	2
149	мы должны	4	2
150	в один	4	2
151	там где	3	2
