N	2gram	Propp_Russ_2	VLabPisa
1	таким образом	6	27
2	в этом	11	26
3	и в	29	25
4	и т	5	24
5	не только	10	22
6	может быть	13	21
7	т е	24	17
8	не может	5	17
9	т д	5	15
10	прежде всего	2	13
11	в том	22	13
12	все это	10	12
13	как это	4	12
14	с другой	2	11
15	из них	4	11
16	в качестве	3	10
17	о том	9	10
18	по этому	2	9
19	к этому	5	9
20	об этом	2	9
21	что в	22	9
22	но и	8	9
23	то же	4	9
24	все эти	3	8
25	могут быть	2	8
26	из этих	2	7
27	в году	3	7
28	же в	6	7
29	как и	11	7
30	том что	22	7
31	было бы	3	7
32	говорит о	2	7
33	во всех	3	7
34	вместе с	6	7
35	этому поводу	2	7
36	не было	2	7
37	а не	4	7
38	это не	5	6
39	это и	2	6
40	то что	5	6
41	главным образом	3	6
42	том же	4	6
43	их в	4	6
44	между тем	3	6
45	в то	2	6
46	все же	2	5
47	и при	2	5
48	очевидно что	2	5
49	связи с	2	5
50	одним из	2	5
51	как бы	18	5
52	один из	2	5
53	в их	2	5
54	не в	4	5
55	никогда не	2	4
56	в ее	3	4
57	одна из	11	4
58	в своей	2	4
59	должен быть	2	4
60	в них	4	4
61	в этой	3	4
62	во время	12	3
63	и ее	2	3
64	с тем	6	3
65	и как	2	3
66	и от	3	3
67	п в	12	3
68	у нас	4	3
69	по существу	4	3
70	мы видели	7	3
71	видели что	4	3
72	или в	7	3
73	с этим	2	3
74	следующим образом	5	3
75	далеко не	4	3
76	в виду	2	3
77	в котором	3	3
78	его в	8	3
79	что и	2	3
80	ее в	8	3
81	именно в	4	3
82	образом в	2	3
83	этот вопрос	2	3
84	того что	3	3
85	пишет в	3	3
86	и по	3	3
87	так же	4	3
88	в которых	4	3
89	моментов в	2	3
90	она не	3	3
91	не менее	2	2
92	эта теория	4	2
93	не всегда	3	2
94	нет никаких	2	2
95	показывает что	8	2
96	что при	2	2
97	в целях	2	2
98	а затем	4	2
99	но не	5	2
100	представления об	2	2
101	н ф	2	2
102	из основных	2	2
103	еще не	6	2
104	одной стороны	2	2
105	для того	6	2
106	мы имеем	6	2
107	том чтобы	2	2
108	что она	3	2
109	что для	3	2
110	этом и	2	2
111	после этого	2	2
112	а в	9	2
113	начиная с	2	2
114	и через	3	2
115	с одной	2	2
116	в течение	2	2
117	того чтобы	6	2
118	из которых	2	2
119	и для	2	2
120	у них	2	2
121	можно было	2	2
122	с другими	3	2
123	тому как	3	2
124	в своих	2	2
125	не столько	2	2
126	пока еще	2	2
127	также что	2	2
128	подобно тому	3	2
129	как например	3	2
130	будто бы	5	2
131	в образе	2	2
132	в которой	2	2
133	же как	4	2
134	тогда когда	4	2
135	о чем	4	2
136	но в	5	2
