N	2gram	Trubetskoy_1	UchenyiS
1	и в	23	14
2	не только	7	10
3	и не	8	8
4	прежде всего	3	8
5	то что	18	7
6	в этом	12	7
7	не может	17	7
8	может быть	16	6
9	хотя бы	4	5
10	все это	11	5
11	и только	2	5
12	то же	4	5
13	но и	9	4
14	в этой	6	4
15	в их	4	4
16	конечно не	3	4
17	с другой	6	4
18	но в	4	3
19	как и	9	3
20	и то	4	3
21	все же	13	3
22	в частности	2	3
23	бы то	2	3
24	очевидно что	3	3
25	для этого	7	3
26	то ни	3	3
27	же время	2	3
28	другой стороны	5	3
29	для него	2	3
30	это не	3	3
31	в то	6	3
32	было бы	3	3
33	и т.д	4	3
34	пришлось бы	2	3
35	этой области	4	3
36	в области	4	3
37	ни было	2	3
38	у нас	3	3
39	том что	19	2
40	но не	2	2
41	в том	30	2
42	по существу	6	2
43	на каждом	2	2
44	не есть	2	2
45	не в	8	2
46	всех этих	4	2
47	и для	6	2
48	мы и	2	2
49	должна быть	5	2
50	если бы	8	2
51	только в	6	2
52	и с	5	2
53	но даже	3	2
54	сих пор	8	2
55	при таком	2	2
56	что он	7	2
57	все они	5	2
58	и у	4	2
59	в себе	5	2
60	до сих	8	2
61	что мы	4	2
62	в конце	4	2
63	что все	5	2
64	в самом	8	2
65	в сторону	2	2
66	не могут	4	2
67	сводится к	2	2
68	одним из	4	2
69	самом деле	12	2
70	а между	8	2
71	что и	7	2
72	в его	5	2
73	между тем	12	2
74	на первый	2	2
75	конце концов	4	2
76	таким образом	31	2
77	же не	3	2
