N	3gram	Medvedev_F_2	Problemy
1	с точки зрения	7	13
2	в этом смысле	2	10
3	в то же	5	9
4	то же время	5	9
5	в том что	2	6
6	и в этом	5	5
7	в конце концов	2	5
8	в зависимости от	3	5
9	не может быть	10	4
10	на самом деле	3	4
11	дело идет о	2	3
12	и т п	9	3
13	сами по себе	2	3
14	с другой стороны	3	3
15	как раз и	3	3
16	в этом отношении	7	3
17	не входит в	2	3
18	во всяком случае	5	3
19	в самом деле	5	2
20	в большинстве случаев	3	2
21	и не может	3	2
22	все эти определения	2	2
23	и не входит	2	2
24	и в то	3	2
25	но все же	2	2
