N	2gram	Losev_Prob_4	Mirosoze
1	у достоевского	4	42
2	может быть	9	30
3	не только	24	29
4	и в	20	28
5	не может	5	28
6	но и	14	25
7	а не	7	25
8	он не	2	24
9	в этом	9	20
10	не было	3	18
11	не в	13	16
12	потому что	15	16
13	в ней	7	15
14	в своей	4	15
15	и есть	4	14
16	он был	3	14
17	в нем	5	13
18	человека в	3	13
19	и он	2	12
20	и это	2	12
21	для него	3	11
22	в самом	2	11
23	и не	28	11
24	что в	3	10
25	в своем	3	10
26	прежде всего	11	10
27	и все	8	10
28	что он	8	10
29	было бы	14	10
30	и потому	7	10
31	с тем	4	9
32	в его	3	9
33	не есть	12	9
34	и его	10	9
35	но не	5	8
36	в котором	2	8
37	в самой	4	7
38	в конце	2	7
39	но в	8	7
40	нет ничего	3	7
41	к нему	3	7
42	в себе	12	7
43	в том	20	6
44	в этой	4	6
45	все это	9	6
46	и на	3	6
47	все в	3	6
48	вместе с	5	6
49	только в	23	6
50	в которой	2	6
51	это не	7	5
52	если он	2	5
53	у нас	14	5
54	как и	6	5
55	то что	15	5
56	нет и	2	5
57	уже в	4	4
58	в этих	5	4
59	смысле слова	15	4
60	нет в	2	4
61	не к	2	4
62	ни с	4	4
63	был в	2	4
64	и по	2	4
65	а в	4	4
66	точки зрения	14	4
67	и этот	3	4
68	о великом	2	4
69	в них	5	4
70	xix века	2	4
71	это и	4	4
72	за пределы	2	4
73	к ней	2	4
74	что и	3	4
75	есть не	6	4
76	или к	2	4
77	уже не	5	4
78	тем что	3	4
79	значит что	8	4
80	о себе	3	3
81	к тому	3	3
82	для нас	6	3
83	это есть	3	3
84	это значит	10	3
85	но если	6	3
86	только и	5	3
87	не имеет	4	3
88	не так	3	3
89	с этим	4	3
90	его в	2	3
91	так как	5	3
92	то есть	27	3
93	и с	7	3
94	с его	2	3
95	для них	2	3
96	в жизни	3	3
97	с собой	3	3
98	на путях	2	3
99	в ее	5	3
100	том что	12	3
101	учение о	3	3
102	этот путь	2	3
103	конечно не	3	3
104	себя в	2	3
105	не хотел	2	3
106	бы и	3	3
107	будто бы	2	3
108	хотя бы	7	3
109	за собой	2	2
110	по своему	6	2
111	вообще не	3	2
112	и от	6	2
113	что без	2	2
114	для того	3	2
115	в виду	6	2
116	себе и	3	2
117	жизни и	5	2
118	отличается от	4	2
119	все эти	16	2
120	и что	2	2
121	есть только	2	2
122	время как	2	2
123	также и	13	2
124	сказать что	7	2
125	даже и	13	2
126	в начале	3	2
127	в истории	3	2
128	как бы	4	2
129	о том	5	2
130	том смысле	2	2
131	когда мы	5	2
132	с ним	4	2
133	не существует	5	2
134	человеческого сознания	2	2
135	если бы	8	2
136	жизни в	2	2
137	только один	2	2
138	и во	4	2
139	и жизнь	2	2
140	и уж	2	2
141	в то	4	2
142	то время	2	2
143	как будто	11	2
144	никто не	2	2
145	и к	3	2
146	и когда	2	2
147	относится к	2	2
148	все же	2	2
149	с ней	2	2
150	как в	5	2
151	и сама	3	2
152	человеческой жизни	5	2
153	л толстой	2	2
154	на земле	2	2
155	чтобы не	2	2
156	в той	8	2
157	того чтобы	2	2
158	и как	3	2
159	и для	4	2
160	образ и	2	2
161	в каком	6	2
