N	2gram	Propp_Isto_5	DiskursI
1	в качестве	7	16
2	и в	25	16
3	может быть	17	16
4	как и	7	16
5	в этом	10	16
6	и не	11	15
7	а не	2	14
8	в частности	7	12
9	представляет собой	7	11
10	но и	13	11
11	том что	8	10
12	не только	13	10
13	со стороны	2	10
14	не может	6	9
15	в том	6	8
16	как в	6	8
17	не менее	4	7
18	прежде всего	6	7
19	в нем	7	7
20	но не	5	7
21	в данном	3	7
22	себя в	6	6
23	еще не	8	6
24	все же	10	6
25	в своей	2	6
26	данном случае	2	6
27	то же	4	6
28	что в	8	5
29	с другой	9	5
30	героя в	9	5
31	то что	7	5
32	и на	8	5
33	в то	3	5
34	к этому	2	4
35	к его	2	4
36	в пределах	4	4
37	одной стороны	7	4
38	как бы	2	4
39	отношению к	2	4
40	по отношению	2	4
41	с одной	7	4
42	человека в	3	4
43	роль в	2	4
44	потому что	7	4
45	точки зрения	2	4
46	в этой	3	4
47	о том	7	4
48	перед нами	2	3
49	могут быть	6	3
50	в этих	6	3
51	это не	6	3
52	и все	3	3
53	уже не	11	3
54	и как	3	3
55	не в	6	3
56	можно сказать	2	3
57	например в	5	3
58	он не	4	3
59	в его	12	3
60	в русской	3	3
61	из двух	2	3
62	еще в	2	3
63	из них	2	3
64	жизни и	2	3
65	все эти	8	3
66	и его	9	3
67	но это	7	3
68	только в	7	3
69	его в	9	3
70	же как	4	2
71	никогда не	3	2
72	а сам	2	2
73	в целом	3	2
74	этом случае	7	2
75	что он	22	2
76	такой же	2	2
77	того же	2	2
78	а герой	2	2
79	в формах	2	2
80	о чем	2	2
81	живет в	5	2
82	в ней	5	2
83	в свое	2	2
84	что и	6	2
85	но уже	3	2
86	время в	2	2
87	вместе с	22	2
88	с ней	2	2
89	входит в	5	2
90	в себя	3	2
91	все это	4	2
92	другой стороны	8	2
93	и для	2	2
94	а в	3	2
95	в наше	2	2
96	их в	3	2
97	и с	3	2
98	и это	4	2
99	мы имеем	14	2
