N	2gram	Bakhtin_sl_1	StatiiOP
1	и в	41	25
2	в этом	12	24
3	в том	3	20
4	может быть	14	19
5	том что	2	15
6	в его	13	12
7	не только	16	12
8	в этих	2	11
9	так что	2	11
10	прежде всего	8	10
11	таким образом	9	10
12	и не	16	10
13	у него	3	9
14	но и	16	9
15	и т	28	8
16	все это	5	8
17	в языке	5	8
18	о том	3	8
19	это не	6	7
20	было бы	3	7
21	с этим	3	7
22	не может	14	7
23	точки зрения	16	7
24	в то	14	7
25	из этих	3	6
26	не в	7	6
27	только в	6	6
28	как бы	12	6
29	как в	8	6
30	а в	6	6
31	и на	14	6
32	т п	23	6
33	между тем	2	6
34	то же	14	5
35	в них	6	5
36	потому что	2	5
37	с другой	5	5
38	такого рода	2	5
39	в котором	2	5
40	на почве	4	5
41	а не	15	5
42	того что	3	5
43	другой стороны	4	5
44	в речах	2	5
45	он не	3	5
46	так и	11	5
47	но в	8	5
48	всяком случае	5	4
49	и др	14	4
50	связана с	2	4
51	точка зрения	8	4
52	в каждом	4	4
53	а как	2	4
54	в смысле	4	4
55	у нас	2	4
56	как и	4	4
57	мы видим	2	4
58	то в	2	4
59	на протяжении	2	4
60	в качестве	3	4
61	можно сказать	2	4
62	например в	2	4
63	и к	5	4
64	на его	8	4
65	в ней	4	4
66	а также	2	4
67	и тем	2	4
68	в своей	7	4
69	в целом	2	4
70	отношение к	7	4
71	из этого	3	4
72	связь с	2	4
73	в особенности	8	4
74	не было	3	4
75	лишь в	4	4
76	с точки	8	4
77	к нему	5	4
78	и для	4	4
79	и с	4	4
80	время как	2	4
81	сказать что	2	4
82	во всяком	7	4
83	все же	7	4
84	в которой	4	4
85	то время	2	4
86	ничего не	4	4
87	в эту	2	4
88	что все	2	3
89	с его	4	3
90	все они	7	3
91	тому что	2	3
92	к этому	2	3
93	же время	12	3
94	с которым	2	3
95	и здесь	3	3
96	всех этих	4	3
97	его как	2	3
98	с этой	3	3
99	для него	3	3
100	на этом	2	3
101	кроме того	4	3
102	до конца	12	3
103	одной стороны	4	3
104	и наконец	4	3
105	на язык	2	3
106	все эти	9	3
107	не является	2	3
108	в их	4	3
109	как раз	2	3
110	уже не	2	3
111	и его	14	3
112	в виде	2	3
113	но он	2	3
114	в другом	2	3
115	связи с	2	3
116	так как	3	3
117	а с	2	2
118	все время	3	2
119	никогда не	3	2
120	он может	2	2
121	точку зрения	3	2
122	и у	2	2
123	и во	3	2
124	в поэзии	3	2
125	одного из	2	2
126	в духе	2	2
127	вовсе не	7	2
128	и ее	3	2
129	или иной	9	2
130	к тому	3	2
131	как мы	8	2
132	не как	4	2
133	что они	2	2
134	но не	2	2
135	к своей	2	2
136	того же	6	2
137	в свою	3	2
138	до сих	2	2
139	языка это	2	2
140	еще не	4	2
141	и может	3	2
142	одной из	3	2
143	в самом	5	2
144	в сущности	13	2
145	во всех	17	2
146	одна из	2	2
147	слова как	6	2
148	один из	4	2
149	дело не	2	2
150	сих пор	2	2
151	не на	5	2
152	в отношении	6	2
153	т д	5	2
154	с ее	4	2
155	с одной	4	2
156	и других	3	2
157	произведения и	2	2
158	для того	2	2
159	этот язык	2	2
160	и по	2	2
161	той же	2	2
162	мы не	2	2
163	или в	8	2
164	слово в	10	2
165	в результате	3	2
166	могут быть	19	2
167	поэтического слова	9	2
168	жизни но	2	2
169	г г	2	2
170	которые в	3	2
171	так сказать	5	2
172	с которыми	2	2
173	в чисто	2	2
174	в плане	6	2
175	то есть	26	2
176	произведения как	3	2
