N	2gram	Berdyaev_N_1	Hudozhes
1	в мире	3	23
2	и не	11	16
3	в том	8	15
4	и в	16	15
5	не только	5	15
6	может быть	7	13
7	а в	2	12
8	но не	2	11
9	в этом	7	11
10	в себе	2	11
11	но и	3	10
12	так и	2	10
13	а не	17	10
14	такого рода	2	9
15	себя в	2	8
16	с другой	3	7
17	в то	2	7
18	но в	2	7
19	в основе	3	6
20	с его	6	6
21	что в	9	6
22	в ее	3	6
23	том что	2	6
24	не в	6	6
25	не может	16	6
26	могут быть	2	5
27	ни в	6	5
28	в нем	5	5
29	с ее	5	5
30	то что	4	5
31	и т.п	2	5
32	другой стороны	2	5
33	уже не	2	5
34	место в	2	4
35	прежде всего	4	4
36	к тому	3	4
37	еще не	3	4
38	хотя и	2	4
39	он не	8	4
40	жизни как	2	4
41	в своей	3	4
42	сказать что	3	4
43	не знает	6	4
44	как это	2	4
45	не менее	4	3
46	это не	4	3
47	этом смысле	2	3
48	и к	5	3
49	по своему	4	3
50	к содержанию	2	3
51	не будет	7	3
52	как и	7	3
53	лишь в	6	3
54	и что	2	3
55	и для	4	3
56	потому что	4	3
57	я не	2	2
58	том и	2	2
59	ни к	2	2
60	жизни в	3	2
61	в них	4	2
62	человека и	3	2
63	роль в	2	2
64	есть в	2	2
65	одна из	2	2
66	времени и	2	2
67	с их	2	2
68	одной стороны	2	2
69	за пределы	3	2
70	во всех	3	2
71	и потому	4	2
72	к жизни	3	2
73	но она	2	2
74	как в	3	2
75	с одной	2	2
76	все эти	2	2
77	это и	2	2
78	того чтобы	2	2
79	времени в	2	2
80	так же	2	2
81	и на	2	2
82	культуры в	5	2
83	нового времени	12	2
84	у него	2	2
85	о том	4	2
86	и это	2	2
87	мира и	2	2
