N	2gram	Savitsky_P_1	Analitik
1	не только	17	22
2	и в	14	18
3	в этом	10	14
4	но и	6	13
5	в частности	2	12
6	том что	4	12
7	в качестве	9	12
8	и не	12	12
9	а в	4	10
10	как бы	4	10
11	может быть	5	9
12	со стороны	2	9
13	что в	4	9
14	а не	2	9
15	в том	9	9
16	с другой	5	7
17	но не	3	7
18	в его	2	7
19	в русской	4	7
20	как раз	2	7
21	не в	5	6
22	в начале	2	6
23	прежде всего	3	5
24	в мире	2	5
25	между тем	3	5
26	не менее	2	4
27	отнюдь не	2	4
28	в своем	4	4
29	столь же	3	4
30	по себе	4	4
31	и к	4	4
32	и как	3	4
33	в пределах	8	4
34	тем самым	3	4
35	и без	3	3
36	не столько	2	3
37	в ее	2	3
38	было бы	6	3
39	же время	7	3
40	мысль о	2	3
41	если в	2	3
42	все это	2	3
43	в сочетании	2	3
44	и е	4	3
45	то же	9	3
46	не было	2	3
47	именно в	2	3
48	мы не	3	3
49	с этим	2	3
50	точки зрения	3	3
51	говорить о	2	3
52	в то	7	3
53	я и	3	3
54	могут быть	3	2
55	в них	2	2
56	это не	3	2
57	в жизни	2	2
58	в нем	3	2
59	есть не	2	2
60	же в	4	2
61	да и	2	2
62	осуществляется в	2	2
63	одна из	2	2
64	с тем	3	2
65	одной стороны	3	2
66	в общем	2	2
67	о в	5	2
68	например в	2	2
69	хотя и	3	2
70	в ней	6	2
71	и потому	4	2
72	а также	4	2
73	то что	4	2
74	во всех	2	2
75	в сравнении	3	2
76	не может	4	2
77	отношения к	2	2
78	с одной	3	2
79	и вот	2	2
80	сводится к	3	2
81	в значительной	2	2
82	более чем	2	2
83	с точки	3	2
84	сравнении с	3	2
85	на пути	4	2
86	в себе	3	2
87	что мы	3	2
88	только в	7	2
89	о и	2	2
90	но в	9	2
