N	2gram	Kanaev_Sov_1	Dialekti
1	и не	6	30
2	и есть	2	19
3	а не	3	18
4	может быть	12	17
5	ничего не	6	17
6	и в	7	15
7	как бы	4	14
8	так как	4	14
9	точки зрения	12	14
10	что это	2	13
11	это не	4	12
12	прежде всего	5	11
13	в том	4	11
14	не может	17	11
15	говорить о	2	11
16	ясно что	3	11
17	и все	3	11
18	в этом	7	11
19	было бы	3	9
20	все это	3	9
21	мы не	9	9
22	и что	2	9
23	то же	3	9
24	уже не	2	9
25	и пр	2	9
26	с точки	5	9
27	не в	3	8
28	в себе	3	8
29	не только	4	8
30	что в	2	7
31	и мы	3	7
32	как и	6	7
33	и даже	2	6
34	в результате	6	6
35	же это	4	5
36	в нем	3	5
37	что она	3	5
38	таким образом	11	5
39	если мы	4	5
40	что такое	2	5
41	той же	2	5
42	что все	2	4
43	в этой	3	4
44	жизни и	4	4
45	только так	2	4
46	мы должны	4	4
47	в одном	3	4
48	отнюдь не	3	4
49	мы видим	2	4
50	то ни	2	4
51	еще не	3	4
52	в его	2	4
53	на этом	2	3
54	в свою	2	3
55	совершенно не	2	3
56	все эти	5	3
57	и наконец	5	3
58	с этим	2	3
59	но в	3	3
60	можно назвать	2	3
61	в один	2	3
62	у нас	3	3
63	и потому	3	3
64	быть и	2	3
65	из которых	2	3
66	мы можем	6	3
67	в виде	2	3
68	могут быть	2	3
69	в области	3	3
70	не менее	2	2
71	не могут	2	2
72	говорить об	2	2
73	из этих	2	2
74	вопрос о	4	2
75	может дать	2	2
76	но все	2	2
77	свою очередь	2	2
78	не дает	2	2
79	при этом	3	2
80	в самом	2	2
81	но мы	3	2
82	из них	4	2
83	то и	2	2
84	и будет	2	2
85	и по	2	2
86	при таком	3	2
87	и во	2	2
88	все же	3	2
89	ни одна	2	2
90	нет и	4	2
91	тем не	2	2
92	и именно	2	2
93	вместе с	4	2
94	что же	5	2
95	во всяком	2	2
96	мы получаем	3	2
97	в которой	2	2
98	отличие от	2	2
