N	2gram	Medvedev_S_1	Problemy
1	и в	3	46
2	может быть	2	23
3	как бы	2	19
4	в этом	5	16
5	не только	3	14
6	но и	2	12
7	не в	3	10
8	в том	5	9
9	в его	3	9
10	еще не	2	7
11	то же	2	6
12	все это	7	6
13	только в	2	6
14	по отношению	2	5
15	за пределы	2	5
16	отношению к	2	5
17	что в	2	4
18	таким образом	2	4
19	том что	2	4
20	то что	2	4
21	и только	3	3
22	в конце	2	3
23	по существу	2	3
24	ведь это	2	3
25	и что	2	3
26	было бы	2	3
27	далеко не	2	3
28	должна быть	2	2
29	для нас	3	2
30	в результате	2	2
31	но ведь	3	2
