N	2gram	Voloshinov_1	Narrotol
1	не только	8	26
2	а не	7	17
3	но и	8	15
4	в том	6	14
5	при этом	8	14
6	в качестве	2	14
7	и не	26	14
8	том что	3	13
9	и в	19	13
10	в этом	16	13
11	в частности	2	11
12	только в	9	11
13	может быть	26	10
14	в данном	4	10
15	к тому	2	9
16	так и	11	9
17	сводится к	3	9
18	а в	4	9
19	то что	8	8
20	в себе	2	8
21	не может	24	8
22	не в	5	8
23	никогда не	2	6
24	в своем	2	6
25	прежде всего	13	6
26	можно сказать	3	6
27	и к	3	6
28	того что	3	6
29	в его	6	6
30	и т.п	10	6
31	жизни в	4	6
32	все же	8	6
33	как бы	15	6
34	ничего не	6	6
35	но в	7	6
36	место в	3	5
37	точки зрения	34	5
38	не столько	4	5
39	тем не	2	5
40	что он	2	5
41	он не	3	5
42	в котором	3	5
43	в нем	10	5
44	отношению к	2	5
45	как в	4	5
46	по отношению	3	5
47	в отличие	5	5
48	таким образом	17	5
49	с другой	5	5
50	отличие от	5	5
51	в то	3	5
52	далеко не	4	5
53	о том	2	5
54	не менее	4	4
55	если бы	2	4
56	отнюдь не	6	4
57	в конце	5	4
58	в литературе	2	4
59	как и	12	4
60	что в	4	4
61	для него	9	4
62	не является	4	4
63	жизни и	2	4
64	в своей	3	4
65	в ее	7	4
66	то же	7	4
67	в какой	3	4
68	в другом	2	4
69	и т.д	2	4
70	и все	5	4
71	но при	2	4
72	он является	3	3
73	а как	3	3
74	тому что	2	3
75	точку зрения	2	3
76	или иной	3	3
77	и того	6	3
78	в слове	10	3
79	одна из	2	3
80	же время	3	3
81	к его	2	3
82	как раз	2	3
83	за пределами	2	3
84	внутренней речи	9	3
85	между собой	2	3
86	как к	2	3
87	все эти	7	3
88	самом деле	10	3
89	того чтобы	5	3
90	и даже	2	3
91	и для	11	3
92	и его	19	3
93	в таком	2	3
94	для других	2	3
95	с этой	2	3
96	этом отношении	3	3
97	сказать что	4	3
98	между тем	3	3
99	так сказать	6	3
100	мира и	2	3
101	зависит от	2	2
102	же как	2	2
103	в нашем	2	2
104	хотя бы	5	2
105	к другому	3	2
106	они все	2	2
107	из этих	2	2
108	вовсе не	5	2
109	и здесь	6	2
110	в свою	2	2
111	к своему	2	2
112	в начале	5	2
113	и более	2	2
114	должна быть	2	2
115	еще не	4	2
116	было бы	4	2
117	и он	2	2
118	себе и	2	2
119	в самом	10	2
120	имеет место	2	2
121	и иные	2	2
122	но для	2	2
123	однако не	2	2
124	не могло	2	2
125	не все	2	2
126	что и	2	2
127	он может	3	2
128	не будет	4	2
129	в процессе	14	2
130	бытия в	7	2
131	нового времени	2	2
132	только на	4	2
133	именно в	5	2
134	у нас	2	2
135	те же	5	2
136	на самом	3	2
137	в направлении	7	2
138	с точки	20	2
139	не имеет	3	2
140	так же	7	2
141	той же	2	2
142	мы не	6	2
143	можно было	2	2
144	или иначе	2	2
145	в чем	2	2
146	в результате	9	2
147	в ней	4	2
148	в своих	2	2
149	как он	2	2
150	бы в	2	2
151	в бытии	3	2
152	в области	3	2
153	в сознании	2	2
