N	2gram	Vygotskiy__6	Poddanst
1	не только	16	17
2	и в	28	14
3	и не	11	12
4	в области	6	11
5	в отношении	10	10
6	в этом	27	10
7	то же	7	9
8	в том	28	9
9	в качестве	4	9
10	но в	5	9
11	в пределах	5	8
12	в то	6	7
13	только в	18	7
14	но и	10	6
15	было бы	9	6
16	с другой	2	5
17	не в	4	5
18	в которых	2	5
19	отношении к	3	5
20	может быть	13	5
21	в котором	2	4
22	то что	28	4
23	что в	17	4
24	если бы	7	4
25	в своем	7	4
26	не может	19	4
27	по себе	3	4
28	и к	6	4
29	а в	2	4
30	том что	19	4
31	мы должны	3	4
32	как бы	11	4
33	в нем	7	3
34	с тем	5	3
35	это не	5	3
36	прежде всего	2	3
37	заключается в	7	3
38	тем самым	8	3
39	для того	8	3
40	с точки	10	3
41	мы не	6	3
42	и как	6	3
43	с ними	2	3
44	но не	10	3
45	могут быть	5	3
46	точки зрения	13	3
47	в себе	4	3
48	что мы	11	3
49	потому что	22	3
50	хотя и	3	3
51	в сфере	12	2
52	не менее	2	2
53	и тем	5	2
54	именно в	4	2
55	во всех	4	2
56	в частности	4	2
57	друг другу	2	2
58	в них	3	2
59	все это	2	2
60	как раз	6	2
61	отношения к	3	2
62	с этим	4	2
63	и других	7	2
64	в значительной	2	2
65	а не	3	2
66	того что	24	2
67	для нас	2	2
68	как на	3	2
69	есть в	3	2
70	в силу	17	2
71	переход от	4	2
72	по сравнению	15	2
73	из них	2	2
74	сказывается в	2	2
75	например в	4	2
76	значительной мере	2	2
77	в ряду	2	2
78	в его	3	2
