N	2gram	Propp_Isto_7	Literetu
1	и не	4	22
2	тогда как	3	17
3	и в	24	16
4	при этом	4	15
5	не только	21	14
6	но и	11	14
7	в этом	12	14
8	а не	8	12
9	то что	7	12
10	может быть	14	12
11	в том	7	12
12	не в	9	10
13	своего рода	4	10
14	то же	8	9
15	так и	5	9
16	того что	6	9
17	в то	2	9
18	том что	10	8
19	не может	14	8
20	к себе	3	8
21	как бы	4	8
22	со стороны	2	7
23	точки зрения	4	7
24	только в	6	7
25	с его	3	6
26	с другой	9	6
27	еще не	8	6
28	и его	3	6
29	о том	9	6
30	в качестве	3	5
31	это не	10	5
32	что он	21	5
33	в ее	2	5
34	как и	6	5
35	вместе с	7	5
36	как в	12	5
37	а именно	6	5
38	а в	10	5
39	в основе	2	5
40	но не	6	4
41	никогда не	4	4
42	по существу	4	4
43	одной стороны	5	4
44	и если	3	4
45	хотя и	3	4
46	из них	2	4
47	данном случае	3	4
48	с одной	5	4
49	в данном	4	4
50	свое место	2	3
51	прежде всего	2	3
52	например в	3	3
53	на его	2	3
54	в самом	2	3
55	и тем	2	3
56	это как	2	3
57	уже не	2	3
58	и наконец	3	3
59	не случайно	3	3
60	потому что	9	3
61	там где	5	3
62	как это	2	3
63	но в	5	3
64	что в	13	2
65	не менее	5	2
66	на свое	2	2
67	по дороге	3	2
68	что у	4	2
69	с этой	6	2
70	в конце	3	2
71	к этому	2	2
72	не всегда	4	2
73	не знаю	3	2
74	вопрос о	3	2
75	ни с	2	2
76	стороны и	2	2
77	на то	3	2
78	в нем	6	2
79	и ее	2	2
80	выше и	2	2
81	связи с	3	2
82	того же	2	2
83	было бы	2	2
84	что не	2	2
85	во всех	7	2
86	том чтобы	3	2
87	нас к	2	2
88	вплоть до	2	2
89	не вполне	3	2
90	герой в	2	2
91	один из	7	2
92	еще один	2	2
93	то это	5	2
94	что и	8	2
95	все же	9	2
96	отношение к	5	2
97	когда он	3	2
98	с ней	3	2
99	как мы	3	2
100	так же	6	2
101	им в	2	2
102	если не	4	2
103	другой стороны	8	2
104	и даже	3	2
105	право на	5	2
106	и на	2	2
107	тем что	6	2
108	он в	2	2
109	на себя	2	2
110	представляет собой	4	2
111	его в	3	2
112	здесь не	2	2
113	ее в	3	2
114	если это	2	2
