N	2gram	Savitsky_E_1	VelikijI
1	и не	14	20
2	и в	37	16
3	то что	6	9
4	так как	7	9
5	в истории	2	8
6	и потому	5	7
7	а не	2	7
8	не есть	2	6
9	в мире	2	5
10	хотя и	2	5
11	как бы	6	5
12	но и	14	5
13	того что	7	5
14	на себя	3	5
15	что все	2	4
16	как и	7	4
17	в котором	2	4
18	так и	10	4
19	потому что	3	4
20	в этом	12	4
21	в ней	4	4
22	и все	2	4
23	в его	2	4
24	должна быть	2	3
25	что в	21	3
26	в этих	2	3
27	в них	3	3
28	в том	11	3
29	не в	5	3
30	и мы	3	3
31	к тому	8	3
32	во всех	6	3
33	никогда не	3	3
34	что и	3	3
35	жизни и	2	3
36	как не	2	3
37	в своей	8	3
38	бы и	3	3
39	и что	2	3
40	не имеет	4	3
41	хотя бы	15	3
42	и для	3	3
43	от этого	5	3
44	но в	14	3
45	и теперь	2	2
46	не могут	2	2
47	с тем	3	2
48	в прошлом	3	2
49	прежде всего	9	2
50	в существе	2	2
51	для нас	4	2
52	том что	6	2
53	но не	5	2
54	не к	2	2
55	для них	2	2
56	того чтобы	6	2
57	вслед за	6	2
58	и во	2	2
59	не только	18	2
60	не будет	3	2
61	ее в	3	2
62	всего в	2	2
63	тем что	3	2
64	мы не	4	2
65	более чем	2	2
66	а в	2	2
67	можно было	3	2
68	и то	2	2
69	между тем	8	2
70	могут быть	2	2
71	только в	9	2
72	во всяком	3	2
73	мира в	4	2
